"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-163,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-162,NA,NA,NA,137,NA,NA,28,NA,NA,25.6880733944954,NA,NA,NA,NA,NA,NA,NA,NA
-161,NA,NA,NA,200,NA,NA,63,NA,NA,45.985401459854,NA,NA,NA,NA,NA,NA,NA,NA
-160,NA,NA,NA,313,NA,NA,113,NA,NA,56.5,NA,NA,NA,NA,NA,NA,NA,NA
-159,NA,NA,NA,345,NA,NA,32,NA,NA,10.223642172524,NA,NA,NA,NA,NA,NA,NA,NA
-158,NA,NA,NA,345,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-157,NA,NA,NA,443,NA,NA,98,NA,NA,28.4057971014493,NA,NA,NA,NA,NA,NA,NA,NA
-156,NA,NA,NA,558,NA,NA,115,NA,NA,25.9593679458239,NA,NA,NA,NA,NA,NA,NA,NA
-155,NA,NA,NA,674,NA,NA,116,NA,NA,20.7885304659498,NA,NA,NA,NA,NA,NA,NA,NA
-154,NA,NA,NA,786,NA,NA,112,NA,NA,16.6172106824926,NA,NA,NA,NA,NA,NA,NA,NA
-153,NA,NA,NA,901,NA,NA,115,NA,NA,14.6310432569975,NA,NA,NA,NA,NA,NA,NA,NA
-152,NA,NA,NA,989,NA,NA,88,NA,NA,9.7669256381798,NA,NA,NA,NA,NA,NA,NA,NA
-151,NA,NA,NA,1181,NA,NA,192,NA,NA,19.4135490394338,NA,NA,NA,NA,NA,NA,NA,NA
-150,NA,NA,NA,1181,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-149,NA,NA,NA,1317,NA,NA,136,NA,NA,11.5156646909399,NA,NA,NA,NA,NA,NA,NA,NA
-148,NA,NA,NA,1475,NA,NA,158,NA,NA,11.9969627942293,NA,NA,NA,NA,NA,NA,NA,NA
-147,NA,NA,NA,1673,NA,NA,198,NA,NA,13.4237288135593,NA,NA,NA,NA,NA,NA,NA,NA
-146,NA,NA,NA,1801,NA,NA,128,NA,NA,7.65092647937836,NA,NA,NA,NA,NA,NA,NA,NA
-145,NA,NA,NA,1988,NA,NA,187,NA,NA,10.3831204886174,NA,NA,NA,NA,NA,NA,NA,NA
-144,NA,NA,NA,2100,NA,NA,112,NA,NA,5.63380281690141,NA,NA,NA,NA,NA,NA,NA,NA
-143,NA,NA,NA,2249,NA,NA,149,NA,NA,7.09523809523809,NA,NA,NA,NA,NA,NA,NA,NA
-142,NA,NA,NA,2528,NA,NA,279,NA,NA,12.4055135615829,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,NA,2752,NA,NA,224,NA,NA,8.86075949367089,NA,NA,NA,NA,NA,NA,NA,NA
-140,NA,NA,NA,2974,NA,NA,222,NA,NA,8.06686046511628,NA,NA,NA,NA,NA,NA,NA,NA
-139,NA,NA,NA,3234,NA,NA,260,NA,NA,8.74243443174176,NA,NA,NA,NA,NA,NA,NA,NA
-138,NA,NA,NA,3400,NA,NA,166,NA,NA,5.13296227581942,NA,NA,NA,NA,NA,NA,NA,NA
-137,NA,NA,NA,3472,NA,NA,72,NA,NA,2.11764705882353,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,NA,3574,NA,NA,102,NA,NA,2.93778801843318,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,3751,NA,NA,177,NA,NA,4.95243424734191,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,4016,NA,NA,265,NA,NA,7.06478272460677,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,4210,NA,NA,194,NA,NA,4.83067729083665,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,4273,NA,NA,63,NA,NA,1.49643705463183,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,4467,NA,NA,194,NA,NA,4.54013573601685,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,4658,NA,NA,191,NA,NA,4.27580031340945,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,4821,NA,NA,163,NA,NA,3.49935594675827,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,5166,NA,NA,345,NA,NA,7.15619166148102,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,5338,NA,NA,172,NA,NA,3.32946186604723,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,5538,NA,NA,200,NA,NA,3.74672161858374,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,5779,NA,NA,241,NA,NA,4.35175153485013,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,6021,NA,NA,242,NA,NA,4.1875757051393,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,6021,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,6378,NA,NA,357,NA,NA,5.92924763328351,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,6532,NA,NA,154,NA,NA,2.4145500156789,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,6720,NA,NA,188,NA,NA,2.87813839559094,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,7090,NA,NA,370,NA,NA,5.50595238095238,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,7090,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,7197,NA,NA,107,NA,NA,1.50916784203103,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,7523,NA,NA,326,NA,NA,4.52966513825205,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,7731,NA,NA,208,NA,NA,2.76485444636448,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,7868,NA,NA,137,NA,NA,1.77208640538093,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,8070,NA,NA,202,NA,NA,2.56736146415862,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,8282,NA,NA,212,NA,NA,2.6270136307311,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,8448,NA,NA,166,NA,NA,2.00434677614103,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,8616,NA,NA,168,NA,NA,1.98863636363636,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,8783,NA,NA,167,NA,NA,1.93825441039926,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,8944,NA,NA,161,NA,NA,1.83308664465445,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,9118,NA,NA,174,NA,NA,1.94543828264758,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,9268,NA,NA,150,NA,NA,1.64509760912481,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,9449,NA,NA,181,NA,NA,1.95295640914976,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,9606,NA,NA,157,NA,NA,1.66155148692983,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,9726,NA,NA,120,NA,NA,1.24921923797626,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,9867,NA,NA,141,NA,NA,1.44972239358421,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,9977,NA,NA,110,NA,NA,1.11482720178372,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,10116,NA,NA,139,NA,NA,1.39320437005112,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,10267,NA,NA,151,NA,NA,1.49268485567418,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,10577,NA,NA,310,NA,NA,3.01938248758157,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,10926,NA,NA,349,NA,NA,3.29961236645552,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,11183,NA,NA,257,NA,NA,2.352187442797,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,11447,NA,NA,264,NA,NA,2.36072610211929,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,11728,NA,NA,281,NA,NA,2.45479164846685,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,12131,NA,NA,403,NA,NA,3.4362210095498,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,12531,NA,NA,400,NA,NA,3.29733740004946,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,13018,NA,NA,487,NA,NA,3.88636182267975,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,13463,NA,NA,445,NA,NA,3.41834383161776,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,13837,NA,NA,374,NA,NA,2.77798410458293,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,14095,NA,NA,258,NA,NA,1.86456601864566,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,14609,NA,NA,514,NA,NA,3.64668322100035,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,15044,NA,NA,435,NA,NA,2.9776165377507,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,15463,NA,NA,419,NA,NA,2.78516352034034,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,16004,NA,NA,541,NA,NA,3.49867425467244,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,16425,NA,NA,421,NA,NA,2.63059235191202,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,16854,NA,NA,429,NA,NA,2.61187214611872,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,17233,NA,NA,379,NA,NA,2.24872433843598,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,17889,NA,NA,656,NA,NA,3.80665003191551,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,18586,NA,NA,697,NA,NA,3.89624909162055,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,19211,NA,NA,625,NA,NA,3.3627461530184,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,20059,NA,NA,848,NA,NA,4.41413773359013,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,21418,NA,NA,1359,NA,NA,6.77501370955681,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,21422,NA,NA,4,NA,NA,0.0186758801008498,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,21962,NA,NA,540,NA,NA,2.5207730370647,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,22597,NA,NA,635,NA,NA,2.89135779983608,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,23351,NA,NA,754,NA,NA,3.33672611408594,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,11,24274,NA,NA,923,NA,NA,3.95272151085607,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,16,25222,NA,5,948,NA,45.4545454545455,3.9054131993079,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,23,26030,NA,7,808,NA,43.75,3.20355245420664,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,32,26752,NA,9,722,NA,39.1304347826087,2.77372262773723,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,46,27314,NA,14,562,NA,43.75,2.10077751196172,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,62,28030,NA,16,716,NA,34.7826086956522,2.62136633228381,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,79,29037,NA,17,1007,NA,27.4193548387097,3.59257937923653,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,119,29905,NA,40,868,NA,50.6329113924051,2.98928952715501,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,143,30658,NA,24,753,NA,20.1680672268908,2.51797358301287,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,175,31686,NA,32,1028,NA,22.3776223776224,3.35312153434666,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,217,32785,NA,42,1099,NA,24,3.46840876096699,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,271,33550,NA,54,765,NA,24.8847926267281,2.33338416958975,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,325,34463,NA,54,913,NA,19.9261992619926,2.72131147540984,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,413,35237,NA,88,774,NA,27.0769230769231,2.2458868931898,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,517,35995,NA,104,758,NA,25.181598062954,2.15114794108466,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,643,36983,NA,126,988,NA,24.3713733075435,2.74482567023198,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,712,38149,NA,69,1166,NA,10.7309486780715,3.15279993510532,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,874,39334,NA,162,1185,NA,22.752808988764,3.10624131694147,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,1060,40291,NA,186,957,NA,21.2814645308924,2.43300961000661,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,1239,41251,NA,179,960,NA,16.8867924528302,2.38266610409273,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,1484,42216,NA,245,965,NA,19.774011299435,2.33933722818841,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,1736,43257,NA,252,1041,NA,16.9811320754717,2.46588971006254,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,1962,44332,NA,226,1075,NA,13.0184331797235,2.48514691263842,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,2210,45633,NA,248,1301,NA,12.6401630988787,2.93467472705946,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,2505,47173,NA,295,1540,NA,13.3484162895928,3.37475072863936,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,2878,48096,NA,373,923,NA,14.8902195608782,1.95662773196532,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,3298,49243,NA,420,1147,NA,14.593467685893,2.38481370592149,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,3757,50373,NA,459,1130,NA,13.9175257731959,2.29474239993502,NA,NA,NA,NA,NA,NA,NA,NA
-43,0,9,4147,51408,NA,390,1035,NA,10.3806228373702,2.05467214579239,NA,NA,NA,NA,NA,NA,NA,NA
-42,1,17,4483,52261,8,336,853,88.8888888888889,8.10224258500121,1.65927482103953,NA,NA,NA,NA,NA,NA,NA,NA
-41,2,36,4851,53468,19,368,1207,111.764705882353,8.20878875752844,2.30956162339029,NA,NA,NA,NA,NA,NA,NA,NA
-40,3,50,5217,54426,14,366,958,38.8888888888889,7.54483611626469,1.79172589212239,NA,NA,NA,NA,NA,NA,NA,NA
-39,4,69,5652,55153,19,435,727,38,8.33812535940196,1.33575864476537,NA,NA,NA,NA,NA,NA,NA,NA
-38,5,81,6066,55906,12,414,753,17.3913043478261,7.32484076433121,1.36529291244357,NA,NA,NA,NA,NA,NA,NA,NA
