"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-117,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,61,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,68,NA,NA,7,NA,NA,11.4754098360656,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,95,NA,NA,27,NA,NA,39.7058823529412,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,95,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,109,NA,NA,14,NA,NA,14.7368421052632,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,123,NA,NA,14,NA,NA,12.8440366972477,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,144,NA,NA,21,NA,NA,17.0731707317073,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,144,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,167,NA,NA,23,NA,NA,15.9722222222222,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,173,NA,NA,6,NA,NA,3.59281437125748,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,173,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,184,NA,NA,11,NA,NA,6.35838150289017,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,199,NA,NA,15,NA,NA,8.15217391304348,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,216,NA,NA,17,NA,NA,8.5427135678392,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,225,NA,NA,9,NA,NA,4.16666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,237,NA,NA,12,NA,NA,5.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,250,NA,NA,13,NA,NA,5.48523206751055,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,259,NA,NA,9,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,272,NA,NA,13,NA,NA,5.01930501930502,NA,NA,NA,NA,NA,NA,NA,NA
