"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-125,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,152,NA,NA,38,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,219,NA,NA,67,NA,NA,44.078947368421,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,254,NA,NA,35,NA,NA,15.9817351598174,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,290,NA,NA,36,NA,NA,14.1732283464567,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,391,NA,NA,101,NA,NA,34.8275862068965,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,460,NA,NA,69,NA,NA,17.6470588235294,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,604,NA,NA,144,NA,NA,31.304347826087,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,739,NA,NA,135,NA,NA,22.3509933774834,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,890,NA,NA,151,NA,NA,20.4330175913396,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,1020,NA,NA,130,NA,NA,14.6067415730337,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,1250,NA,NA,230,NA,NA,22.5490196078431,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,1484,NA,NA,234,NA,NA,18.72,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,1706,NA,NA,222,NA,NA,14.9595687331536,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,2012,NA,NA,306,NA,NA,17.936694021102,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,2407,NA,NA,395,NA,NA,19.6322067594433,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,2637,NA,NA,230,NA,NA,9.5554632322393,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,2878,NA,NA,241,NA,NA,9.13917330299583,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,3333,NA,NA,455,NA,NA,15.8095899930507,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,3645,NA,NA,312,NA,NA,9.36093609360936,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,4042,NA,NA,397,NA,NA,10.8916323731139,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,4509,NA,NA,467,NA,NA,11.5536862939139,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,5077,NA,NA,568,NA,NA,12.5970281658904,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,5274,NA,NA,197,NA,NA,3.88024423872366,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,5747,NA,NA,473,NA,NA,8.96852483883201,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,6171,NA,NA,424,NA,NA,7.37776231077084,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,6500,NA,NA,329,NA,NA,5.33138875384865,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,6889,NA,NA,389,NA,NA,5.98461538461538,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,7491,NA,NA,602,NA,NA,8.73856873276237,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,8053,NA,NA,562,NA,NA,7.50233613669737,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,8537,NA,NA,484,NA,NA,6.01018254066807,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,8990,NA,NA,453,NA,NA,5.30631369333489,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,9630,NA,NA,640,NA,NA,7.11902113459399,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,10266,NA,NA,636,NA,NA,6.60436137071651,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,10998,NA,NA,732,NA,NA,7.13033313851549,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,11594,NA,NA,596,NA,NA,5.41916712129478,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,12366,NA,NA,772,NA,NA,6.6586165257892,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,12970,NA,NA,604,NA,NA,4.88436034287563,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,13535,NA,NA,565,NA,NA,4.3562066306862,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,14339,NA,NA,804,NA,NA,5.94015515330624,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,14961,NA,NA,622,NA,NA,4.33781993165493,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,15846,NA,NA,885,NA,NA,5.91537998796872,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,16901,NA,NA,1055,NA,NA,6.6578316294333,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,17731,NA,NA,830,NA,NA,4.91095201467369,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,18671,NA,NA,940,NA,NA,5.30144943883594,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,19492,NA,NA,821,NA,NA,4.39719350864978,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,20256,NA,NA,764,NA,NA,3.91955674122717,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,20256,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,21570,NA,NA,1314,NA,NA,6.48696682464455,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,22342,NA,NA,772,NA,NA,3.57904496986555,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,23196,NA,NA,854,NA,NA,3.82239727866798,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,24081,NA,NA,885,NA,NA,3.81531298499741,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,25070,NA,NA,989,NA,NA,4.10697230181471,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,25800,NA,NA,730,NA,NA,2.91184682887914,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,26746,NA,NA,946,NA,NA,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,27813,NA,NA,1067,NA,NA,3.98938158977043,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,28672,NA,NA,859,NA,NA,3.08848380253838,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,29683,NA,NA,1011,NA,NA,3.52608816964286,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,30388,NA,NA,705,NA,NA,2.37509685678671,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,31140,NA,NA,752,NA,NA,2.47466105041464,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,32145,NA,NA,1005,NA,NA,3.22736030828516,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,22,32908,NA,NA,763,NA,NA,2.37361953647535,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,32,34137,NA,10,1229,NA,45.4545454545455,3.73465418743163,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,45,34950,NA,13,813,NA,40.625,2.3815801036998,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,64,35749,NA,19,799,NA,42.2222222222222,2.28612303290415,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,92,36244,NA,28,495,NA,43.75,1.38465411619905,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,125,37727,NA,33,1483,NA,35.8695652173913,4.09171173159695,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,159,39342,NA,34,1615,NA,27.2,4.28075383677472,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,239,40249,NA,80,907,NA,50.314465408805,2.30542422855981,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,287,41401,NA,48,1152,NA,20.0836820083682,2.86218291137668,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,353,42533,NA,66,1132,NA,22.9965156794425,2.73423347262143,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,436,43611,NA,83,1078,NA,23.5127478753541,2.5345026214939,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,545,44607,NA,109,996,NA,25,2.28382747471968,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,654,45398,NA,109,791,NA,20,1.77326428587441,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,831,46239,NA,177,841,NA,27.0642201834862,1.85250451561743,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,1041,46905,NA,210,666,NA,25.2707581227437,1.44034256796211,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,1295,47856,NA,254,951,NA,24.3996157540826,2.02750239846498,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,1433,48532,NA,138,676,NA,10.6563706563707,1.41257104647275,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,1759,49397,NA,326,865,NA,22.7494766224703,1.78232918486772,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,2134,50681,NA,375,1284,NA,21.3189312109153,2.59934813855092,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,2493,51251,NA,359,570,NA,16.8228678537957,1.1246818334287,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,2987,51738,NA,494,487,NA,19.8154833533895,0.950225361456362,NA,NA,NA,NA,NA,NA,NA,NA
