"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-77,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,125,NA,NA,18,NA,NA,16.8224299065421,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,149,NA,NA,24,NA,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,155,NA,NA,6,NA,NA,4.02684563758389,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,168,NA,NA,13,NA,NA,8.38709677419355,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,211,NA,NA,43,NA,NA,25.5952380952381,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,253,NA,NA,42,NA,NA,19.9052132701422,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,275,NA,NA,22,NA,NA,8.69565217391304,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,303,NA,NA,28,NA,NA,10.1818181818182,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,344,NA,NA,41,NA,NA,13.5313531353135,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,376,NA,NA,32,NA,NA,9.30232558139535,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,432,NA,NA,56,NA,NA,14.8936170212766,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,456,NA,NA,24,NA,NA,5.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,470,NA,NA,14,NA,NA,3.07017543859649,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,499,NA,NA,29,NA,NA,6.17021276595745,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,3,519,NA,NA,20,NA,NA,4.00801603206413,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,5,537,NA,2,18,NA,66.6666666666667,3.46820809248555,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,7,560,NA,2,23,NA,40,4.28305400372439,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,10,586,NA,3,26,NA,42.8571428571429,4.64285714285714,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,15,616,NA,5,30,NA,50,5.11945392491468,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,20,633,NA,5,17,NA,33.3333333333333,2.75974025974026,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,25,698,NA,5,65,NA,25,10.2685624012638,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,38,734,NA,13,36,NA,52,5.15759312320917,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,45,770,NA,7,36,NA,18.4210526315789,4.90463215258856,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,56,796,NA,11,26,NA,24.4444444444444,3.37662337662338,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,69,827,NA,13,31,NA,23.2142857142857,3.89447236180905,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,86,847,NA,17,20,NA,24.6376811594203,2.41837968561064,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,103,867,NA,17,20,NA,19.7674418604651,2.36127508854782,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,131,875,NA,28,8,NA,27.1844660194175,0.922722029988466,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,164,888,NA,33,13,NA,25.1908396946565,1.48571428571429,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,204,907,NA,40,19,NA,24.390243902439,2.13963963963964,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,226,937,NA,22,30,NA,10.7843137254902,3.30760749724366,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,277,965,NA,51,28,NA,22.5663716814159,2.98826040554963,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,336,990,NA,59,25,NA,21.2996389891697,2.59067357512953,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,393,1015,NA,57,25,NA,16.9642857142857,2.52525252525253,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,470,1023,NA,77,8,NA,19.5928753180662,0.788177339901478,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,550,1040,NA,80,17,NA,17.0212765957447,1.66177908113392,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,622,1056,NA,72,16,NA,13.0909090909091,1.53846153846154,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,700,1095,NA,78,39,NA,12.540192926045,3.69318181818182,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,794,1123,NA,94,28,NA,13.4285714285714,2.55707762557078,NA,NA,NA,NA,NA,NA,NA,NA
