"","date","county","state","fips","cases","deaths"
"144","2020-02-12","Bexar","Texas",48029,1,0
"155","2020-02-13","Bexar","Texas",48029,2,0
"166","2020-02-14","Bexar","Texas",48029,2,0
"177","2020-02-15","Bexar","Texas",48029,2,0
"188","2020-02-16","Bexar","Texas",48029,2,0
"200","2020-02-17","Bexar","Texas",48029,2,0
"212","2020-02-18","Bexar","Texas",48029,2,0
"224","2020-02-19","Bexar","Texas",48029,2,0
"237","2020-02-20","Bexar","Texas",48029,2,0
"251","2020-02-21","Bexar","Texas",48029,4,0
"265","2020-02-22","Bexar","Texas",48029,4,0
"279","2020-02-23","Bexar","Texas",48029,4,0
"294","2020-02-24","Bexar","Texas",48029,10,0
"310","2020-02-25","Bexar","Texas",48029,10,0
"330","2020-02-26","Bexar","Texas",48029,10,0
"350","2020-02-27","Bexar","Texas",48029,10,0
"371","2020-02-28","Bexar","Texas",48029,11,0
"393","2020-02-29","Bexar","Texas",48029,11,0
"420","2020-03-01","Bexar","Texas",48029,11,0
"452","2020-03-02","Bexar","Texas",48029,11,0
"487","2020-03-03","Bexar","Texas",48029,11,0
"524","2020-03-04","Bexar","Texas",48029,11,0
"525","2020-03-04","Fort Bend","Texas",48157,1,0
"572","2020-03-05","Bexar","Texas",48029,11,0
"573","2020-03-05","Fort Bend","Texas",48157,1,0
"574","2020-03-05","Harris","Texas",48201,4,0
"641","2020-03-06","Bexar","Texas",48029,11,0
"642","2020-03-06","Fort Bend","Texas",48157,3,0
"643","2020-03-06","Harris","Texas",48201,5,0
"733","2020-03-07","Bexar","Texas",48029,11,0
"734","2020-03-07","Fort Bend","Texas",48157,3,0
"735","2020-03-07","Harris","Texas",48201,5,0
"845","2020-03-08","Bexar","Texas",48029,11,0
"846","2020-03-08","Fort Bend","Texas",48157,6,0
"847","2020-03-08","Harris","Texas",48201,6,0
"974","2020-03-09","Bexar","Texas",48029,11,0
"975","2020-03-09","Collin","Texas",48085,1,0
"976","2020-03-09","Fort Bend","Texas",48157,6,0
"977","2020-03-09","Harris","Texas",48201,6,0
"1132","2020-03-10","Bexar","Texas",48029,11,0
"1133","2020-03-10","Collin","Texas",48085,3,0
"1134","2020-03-10","Dallas","Texas",48113,2,0
"1135","2020-03-10","Fort Bend","Texas",48157,6,0
"1136","2020-03-10","Harris","Texas",48201,7,0
"1137","2020-03-10","Montgomery","Texas",48339,1,0
"1138","2020-03-10","Tarrant","Texas",48439,1,0
"1328","2020-03-11","Bexar","Texas",48029,11,0
"1329","2020-03-11","Collin","Texas",48085,3,0
"1330","2020-03-11","Dallas","Texas",48113,3,0
"1331","2020-03-11","Fort Bend","Texas",48157,6,0
"1332","2020-03-11","Gregg","Texas",48183,1,0
"1333","2020-03-11","Harris","Texas",48201,7,0
"1334","2020-03-11","Montgomery","Texas",48339,1,0
"1335","2020-03-11","Tarrant","Texas",48439,1,0
"1575","2020-03-12","Bexar","Texas",48029,11,0
"1576","2020-03-12","Collin","Texas",48085,4,0
