"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-43,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,74,NA,NA,24,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,104,105,NA,30,NA,NA,40.5405405405405,NA,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,146,142,NA,42,37,NA,40.3846153846154,35.2380952380952,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,211,173,NA,65,31,NA,44.5205479452055,21.830985915493,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,286,216,NA,75,43,NA,35.5450236966825,24.8554913294798,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,363,216,NA,77,0,NA,26.9230769230769,0,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,545,421,NA,182,205,NA,50.1377410468319,94.9074074074074,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,655,524,NA,110,103,NA,20.1834862385321,24.4655581947743,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,805,729,NA,150,205,NA,22.9007633587786,39.1221374045802,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,994,950,NA,189,221,NA,23.4782608695652,30.3155006858711,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,1241,1700,NA,247,750,NA,24.8490945674044,78.9473684210526,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,1492,2382,NA,251,682,NA,20.2256244963739,40.1176470588235,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,1893,4152,NA,401,1770,NA,26.8766756032172,74.3073047858942,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,2373,7102,NA,480,2950,NA,25.3565768621236,71.0500963391137,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,2951,10356,NA,578,3254,NA,24.3573535608934,45.8180794142495,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,3265,15168,NA,314,4812,NA,10.6404608607252,46.4658169177289,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,4010,20875,NA,745,5707,NA,22.8177641653905,37.6252637130802,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,4863,25665,NA,853,4790,NA,21.2718204488778,22.9461077844311,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,5682,30811,NA,819,5146,NA,16.841455891425,20.0506526397818,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,6807,37258,NA,1125,6447,NA,19.7993664202745,20.9243452013891,NA,NA,NA,NA,NA,NA,NA,NA
