"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-158,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-157,NA,NA,NA,146,NA,NA,25,NA,NA,20.6611570247934,NA,NA,NA,NA,NA,NA,NA,NA
-156,NA,NA,NA,197,NA,NA,51,NA,NA,34.9315068493151,NA,NA,NA,NA,NA,NA,NA,NA
-155,NA,NA,NA,287,NA,NA,90,NA,NA,45.6852791878173,NA,NA,NA,NA,NA,NA,NA,NA
-154,NA,NA,NA,420,NA,NA,133,NA,NA,46.3414634146341,NA,NA,NA,NA,NA,NA,NA,NA
-153,NA,NA,NA,507,NA,NA,87,NA,NA,20.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA
-152,NA,NA,NA,600,NA,NA,93,NA,NA,18.3431952662722,NA,NA,NA,NA,NA,NA,NA,NA
-151,NA,NA,NA,772,NA,NA,172,NA,NA,28.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-150,NA,NA,NA,1026,NA,NA,254,NA,NA,32.9015544041451,NA,NA,NA,NA,NA,NA,NA,NA
-149,NA,NA,NA,1247,NA,NA,221,NA,NA,21.5399610136452,NA,NA,NA,NA,NA,NA,NA,NA
-148,NA,NA,NA,1525,NA,NA,278,NA,NA,22.2935044105854,NA,NA,NA,NA,NA,NA,NA,NA
-147,NA,NA,NA,2001,NA,NA,476,NA,NA,31.2131147540984,NA,NA,NA,NA,NA,NA,NA,NA
-146,NA,NA,NA,2366,NA,NA,365,NA,NA,18.2408795602199,NA,NA,NA,NA,NA,NA,NA,NA
-145,NA,NA,NA,2651,NA,NA,285,NA,NA,12.0456466610313,NA,NA,NA,NA,NA,NA,NA,NA
-144,NA,NA,NA,2809,NA,NA,158,NA,NA,5.96001508864579,NA,NA,NA,NA,NA,NA,NA,NA
-143,NA,NA,NA,3929,NA,NA,1120,NA,NA,39.871840512638,NA,NA,NA,NA,NA,NA,NA,NA
-142,NA,NA,NA,4638,NA,NA,709,NA,NA,18.0453041486383,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,NA,5348,NA,NA,710,NA,NA,15.3083225528245,NA,NA,NA,NA,NA,NA,NA,NA
-140,NA,NA,NA,5831,NA,NA,483,NA,NA,9.03141361256544,NA,NA,NA,NA,NA,NA,NA,NA
-139,NA,NA,NA,6160,NA,NA,329,NA,NA,5.6422569027611,NA,NA,NA,NA,NA,NA,NA,NA
-138,NA,NA,NA,6647,NA,NA,487,NA,NA,7.90584415584416,NA,NA,NA,NA,NA,NA,NA,NA
-137,NA,NA,NA,7314,NA,NA,667,NA,NA,10.0346020761246,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,NA,8818,NA,NA,1504,NA,NA,20.5633032540334,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,9901,NA,NA,1083,NA,NA,12.2816965298254,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,10566,NA,NA,665,NA,NA,6.71649328350672,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,11483,NA,NA,917,NA,NA,8.67878099564641,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,12159,NA,NA,676,NA,NA,5.88696333710703,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,12452,NA,NA,293,NA,NA,2.40973764289826,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,13315,NA,NA,863,NA,NA,6.93061355605525,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,14223,NA,NA,908,NA,NA,6.81937664288397,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,14987,NA,NA,764,NA,NA,5.37158124165085,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,15669,NA,NA,682,NA,NA,4.55061052912524,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,17194,NA,NA,1525,NA,NA,9.73259301806114,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,17669,NA,NA,475,NA,NA,2.76259160172153,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,18301,NA,NA,632,NA,NA,3.57688607165091,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,18947,NA,NA,646,NA,NA,3.52986175618819,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,19881,NA,NA,934,NA,NA,4.92954029661688,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,20740,NA,NA,859,NA,NA,4.32070821387254,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,21512,NA,NA,772,NA,NA,3.72227579556413,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,22147,NA,NA,635,NA,NA,2.95184083302343,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,22695,NA,NA,548,NA,NA,2.47437576195422,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,23401,NA,NA,706,NA,NA,3.11081736065213,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,23913,NA,NA,512,NA,NA,2.18794068629546,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,24615,NA,NA,702,NA,NA,2.93564170116673,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,25623,NA,NA,1008,NA,NA,4.09506398537477,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,26155,NA,NA,532,NA,NA,2.07625961050619,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,27270,NA,NA,1115,NA,NA,4.26304721850507,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,28306,NA,NA,1036,NA,NA,3.7990465713238,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,28602,NA,NA,296,NA,NA,1.04571468946513,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,29368,NA,NA,766,NA,NA,2.67813439619607,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,29711,NA,NA,343,NA,NA,1.16793789158268,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,30696,NA,NA,985,NA,NA,3.31527043855811,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,31439,NA,NA,743,NA,NA,2.42051081574146,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,32106,NA,NA,667,NA,NA,2.12156875218677,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,32532,NA,NA,426,NA,NA,1.32685479349654,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,33441,NA,NA,909,NA,NA,2.79417189229067,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,33927,NA,NA,486,NA,NA,1.45330582219431,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,34635,NA,NA,708,NA,NA,2.0868334954461,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,35332,NA,NA,697,NA,NA,2.01241518694962,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,35858,NA,NA,526,NA,NA,1.48873542397826,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,36681,NA,NA,823,NA,NA,2.2951642590217,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,37147,NA,NA,466,NA,NA,1.27041247512336,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,37701,NA,NA,554,NA,NA,1.49137211618704,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,38081,NA,NA,380,NA,NA,1.00793082411607,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,38721,NA,NA,640,NA,NA,1.68062813476537,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,39647,NA,NA,926,NA,NA,2.39146716252163,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,40405,NA,NA,758,NA,NA,1.91187227280753,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,41218,NA,NA,813,NA,NA,2.01212721197872,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,42132,NA,NA,914,NA,NA,2.21747780096075,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,42838,NA,NA,706,NA,NA,1.67568593942846,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,43344,NA,NA,506,NA,NA,1.18119426677249,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,43730,NA,NA,386,NA,NA,0.890550018456995,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,44421,NA,NA,691,NA,NA,1.58015092613766,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,45070,NA,NA,649,NA,NA,1.46102068841314,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,45670,NA,NA,600,NA,NA,1.33126248058576,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,46286,NA,NA,616,NA,NA,1.34880665644843,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,46986,NA,NA,700,NA,NA,1.51233634360282,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,47618,NA,NA,632,NA,NA,1.34508151364236,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,48207,NA,NA,589,NA,NA,1.23692721239867,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,48894,NA,NA,687,NA,NA,1.42510423797374,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,49847,NA,NA,953,NA,NA,1.94911441076615,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,50621,NA,NA,774,NA,NA,1.55275141934319,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,51309,NA,NA,688,NA,NA,1.35911973291717,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,51898,NA,NA,589,NA,NA,1.14794675398078,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,52497,NA,NA,599,NA,NA,1.15418705923157,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,53249,NA,NA,752,NA,NA,1.43246280739852,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,53980,NA,NA,731,NA,NA,1.37279573325321,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,54973,NA,NA,993,NA,NA,1.83957021118933,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,55783,NA,NA,810,NA,NA,1.4734506030233,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,56801,NA,NA,1018,NA,NA,1.82492874173135,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,57681,NA,NA,880,NA,NA,1.54926849879404,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,58414,NA,NA,733,NA,NA,1.27078240668504,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,27,59078,NA,NA,664,NA,NA,1.13671380148595,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,40,60030,NA,13,952,NA,48.1481481481481,1.61142895832628,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,57,60912,NA,17,882,NA,42.5,1.46926536731634,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,80,62009,NA,23,1097,NA,40.3508771929825,1.80095876017862,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,115,63809,NA,35,1800,NA,43.75,2.90280443161477,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,156,64701,NA,41,892,NA,35.6521739130435,1.39792192323967,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,198,65928,NA,42,1227,NA,26.9230769230769,1.89641582046645,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,297,67678,NA,99,1750,NA,50,2.65441087246693,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,358,69381,NA,61,1703,NA,20.5387205387205,2.51632731463696,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,439,71095,NA,81,1714,NA,22.6256983240223,2.47041697294648,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,542,72995,NA,103,1900,NA,23.4624145785877,2.67248048385962,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,677,74985,NA,135,1990,NA,24.9077490774908,2.72621412425509,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,814,77210,NA,137,2225,NA,20.2363367799114,2.9672601186904,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,1033,79417,NA,219,2207,NA,26.9041769041769,2.85843802616241,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,1295,81291,NA,262,1874,NA,25.3630203291384,2.35969628668925,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,1611,84237,NA,316,2946,NA,24.4015444015444,3.62401741890246,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,1782,87709,NA,171,3472,NA,10.6145251396648,4.12170423922979,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,2188,90493,NA,406,2784,NA,22.7833894500561,3.17413264317231,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,2654,93319,NA,466,2826,NA,21.2979890310786,3.12289348347386,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,3101,95516,NA,447,2197,NA,16.8425018839488,2.35429012312605,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,3715,97064,NA,614,1548,NA,19.8000644953241,1.62067088236526,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,4346,100470,NA,631,3406,NA,16.9851951547779,3.50902497321355,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,4913,103890,NA,567,3420,NA,13.046479521399,3.40400119438638,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,5533,106727,NA,620,2837,NA,12.619580704254,2.73077293290981,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,6271,111211,NA,738,4484,NA,13.3381529007772,4.2013735980586,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,7206,114401,NA,935,3190,NA,14.9099027268378,2.86842128926095,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,8257,116926,NA,1051,2525,NA,14.5850679988898,2.20714853891137,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,9409,120569,NA,1152,3643,NA,13.951798474022,3.1156457930657,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,10385,123963,NA,976,3394,NA,10.3730470825805,2.81498560989973,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,11226,127834,NA,841,3871,NA,8.09821858449687,3.12270596871647,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,12148,131275,NA,922,3441,NA,8.21307678603242,2.69177214199665,NA,NA,NA,NA,NA,NA,NA,NA
-35,0,22,13063,135183,NA,915,3908,NA,7.53210405004939,2.97695677013902,NA,NA,NA,NA,NA,NA,NA,NA
-34,1,42,14152,139872,20,1089,4689,90.9090909090909,8.33652300390416,3.46863141075431,NA,NA,NA,NA,NA,NA,NA,NA
-33,2,90,15190,143123,48,1038,3251,114.285714285714,7.33465234595817,2.3242679020819,NA,NA,NA,NA,NA,NA,NA,NA
-32,3,125,16239,145575,35,1049,2452,38.8888888888889,6.90585911784068,1.7132117130021,NA,NA,NA,NA,NA,NA,NA,NA
-31,4,173,17155,148988,48,916,3413,38.4,5.64074142496459,2.34449596427958,NA,NA,NA,NA,NA,NA,NA,NA
