"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-144,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-143,NA,NA,NA,66,NA,NA,13,NA,NA,24.5283018867925,NA,NA,NA,NA,NA,NA,NA,NA
-142,NA,NA,NA,87,NA,NA,21,NA,NA,31.8181818181818,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,NA,118,NA,NA,31,NA,NA,35.632183908046,NA,NA,NA,NA,NA,NA,NA,NA
-140,NA,NA,NA,134,NA,NA,16,NA,NA,13.5593220338983,NA,NA,NA,NA,NA,NA,NA,NA
-139,NA,NA,NA,134,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-138,NA,NA,NA,160,NA,NA,26,NA,NA,19.4029850746269,NA,NA,NA,NA,NA,NA,NA,NA
-137,NA,NA,NA,184,NA,NA,24,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,NA,207,NA,NA,23,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,227,NA,NA,20,NA,NA,9.66183574879227,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,256,NA,NA,29,NA,NA,12.7753303964758,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,287,NA,NA,31,NA,NA,12.109375,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,306,NA,NA,19,NA,NA,6.62020905923345,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,306,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,343,NA,NA,37,NA,NA,12.0915032679739,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,378,NA,NA,35,NA,NA,10.2040816326531,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,406,NA,NA,28,NA,NA,7.40740740740741,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,425,NA,NA,19,NA,NA,4.67980295566502,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,453,NA,NA,28,NA,NA,6.58823529411765,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,472,NA,NA,19,NA,NA,4.19426048565121,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,472,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,477,NA,NA,5,NA,NA,1.0593220338983,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,505,NA,NA,28,NA,NA,5.87002096436059,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,505,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,522,NA,NA,17,NA,NA,3.36633663366337,NA,NA,NA,NA,NA,NA,NA,NA
