"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-147,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-146,NA,NA,NA,199,NA,NA,88,NA,NA,79.2792792792793,NA,NA,NA,NA,NA,NA,NA,NA
-145,NA,NA,NA,367,NA,NA,168,NA,NA,84.4221105527638,NA,NA,NA,NA,NA,NA,NA,NA
-144,NA,NA,NA,506,NA,NA,139,NA,NA,37.874659400545,NA,NA,NA,NA,NA,NA,NA,NA
-143,NA,NA,NA,789,NA,NA,283,NA,NA,55.9288537549407,NA,NA,NA,NA,NA,NA,NA,NA
-142,NA,NA,NA,981,NA,NA,192,NA,NA,24.3346007604563,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,NA,1082,NA,NA,101,NA,NA,10.2956167176351,NA,NA,NA,NA,NA,NA,NA,NA
-140,NA,NA,NA,1173,NA,NA,91,NA,NA,8.41035120147874,NA,NA,NA,NA,NA,NA,NA,NA
-139,NA,NA,NA,1403,NA,NA,230,NA,NA,19.6078431372549,NA,NA,NA,NA,NA,NA,NA,NA
-138,NA,NA,NA,1595,NA,NA,192,NA,NA,13.6849607982894,NA,NA,NA,NA,NA,NA,NA,NA
-137,NA,NA,NA,1823,NA,NA,228,NA,NA,14.294670846395,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,NA,1924,NA,NA,101,NA,NA,5.54031815688426,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,1962,NA,NA,38,NA,NA,1.97505197505198,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,2240,NA,NA,278,NA,NA,14.1692150866463,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,2748,NA,NA,508,NA,NA,22.6785714285714,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,3163,NA,NA,415,NA,NA,15.1018922852984,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,3368,NA,NA,205,NA,NA,6.48118874486247,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,3465,NA,NA,97,NA,NA,2.88004750593824,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,3646,NA,NA,181,NA,NA,5.22366522366522,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,3747,NA,NA,101,NA,NA,2.77015907844213,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,3747,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,4450,NA,NA,703,NA,NA,18.7616760074726,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,4965,NA,NA,515,NA,NA,11.5730337078652,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,7161,NA,NA,2196,NA,NA,44.2296072507553,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,7257,NA,NA,96,NA,NA,1.34059488898199,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,7466,NA,NA,209,NA,NA,2.8799779523219,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,7529,NA,NA,63,NA,NA,0.843825341548353,NA,NA,NA,NA,NA,NA,NA,NA
