"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-102,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,83,NA,NA,13,NA,NA,18.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,137,NA,NA,54,NA,NA,65.0602409638554,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,148,NA,NA,11,NA,NA,8.02919708029197,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,165,NA,NA,17,NA,NA,11.4864864864865,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,191,NA,NA,26,NA,NA,15.7575757575758,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,206,NA,NA,15,NA,NA,7.85340314136126,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,231,NA,NA,25,NA,NA,12.1359223300971,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,254,NA,NA,23,NA,NA,9.95670995670996,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,273,NA,NA,19,NA,NA,7.48031496062992,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,288,NA,NA,15,NA,NA,5.49450549450549,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,304,NA,NA,16,NA,NA,5.55555555555556,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,337,NA,NA,33,NA,NA,10.8552631578947,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,366,NA,NA,29,NA,NA,8.6053412462908,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,398,NA,NA,32,NA,NA,8.7431693989071,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,426,NA,NA,28,NA,NA,7.03517587939699,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,426,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,454,NA,NA,28,NA,NA,6.57276995305164,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,482,NA,NA,28,NA,NA,6.16740088105727,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,507,NA,NA,25,NA,NA,5.18672199170125,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,521,NA,NA,14,NA,NA,2.76134122287968,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,521,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,564,NA,NA,43,NA,NA,8.25335892514395,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,585,NA,NA,21,NA,NA,3.72340425531915,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,592,NA,NA,7,NA,NA,1.1965811965812,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,593,NA,NA,1,NA,NA,0.168918918918919,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,598,NA,NA,5,NA,NA,0.843170320404722,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,619,NA,NA,21,NA,NA,3.51170568561873,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,644,NA,NA,25,NA,NA,4.03877221324717,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,661,NA,NA,17,NA,NA,2.63975155279503,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,661,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,702,NA,NA,41,NA,NA,6.20272314674735,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,713,NA,NA,11,NA,NA,1.56695156695157,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,725,NA,NA,12,NA,NA,1.68302945301543,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,738,NA,NA,13,NA,NA,1.79310344827586,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,748,NA,NA,10,NA,NA,1.3550135501355,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,765,NA,NA,17,NA,NA,2.27272727272727,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,786,NA,NA,21,NA,NA,2.74509803921569,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,799,NA,NA,13,NA,NA,1.65394402035623,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,803,NA,NA,4,NA,NA,0.500625782227785,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,806,NA,NA,3,NA,NA,0.37359900373599,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,832,NA,NA,26,NA,NA,3.2258064516129,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,846,NA,NA,14,NA,NA,1.68269230769231,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,872,NA,NA,26,NA,NA,3.07328605200946,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,902,NA,NA,30,NA,NA,3.44036697247706,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,914,NA,NA,12,NA,NA,1.33037694013304,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,922,NA,NA,8,NA,NA,0.87527352297593,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,946,NA,NA,24,NA,NA,2.60303687635575,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,968,NA,NA,22,NA,NA,2.32558139534884,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,989,NA,NA,21,NA,NA,2.16942148760331,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,1016,NA,NA,27,NA,NA,2.73003033367037,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,1040,NA,NA,24,NA,NA,2.36220472440945,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,1051,NA,NA,11,NA,NA,1.05769230769231,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,1069,NA,NA,18,NA,NA,1.71265461465271,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,1088,NA,NA,19,NA,NA,1.77736202057998,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,1116,NA,NA,28,NA,NA,2.57352941176471,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,NA,1161,NA,NA,45,NA,NA,4.03225806451613,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,NA,1188,NA,NA,27,NA,NA,2.32558139534884,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,1,1205,NA,NA,17,NA,NA,1.43097643097643,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,2,1212,NA,1,7,NA,100,0.580912863070539,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,3,1224,NA,1,12,NA,50,0.99009900990099,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,5,1233,NA,2,9,NA,66.6666666666667,0.735294117647059,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,6,1255,NA,1,22,NA,20,1.78426601784266,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,9,1285,NA,3,30,NA,50,2.39043824701195,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,13,1318,NA,4,33,NA,44.4444444444444,2.56809338521401,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,16,1329,NA,3,11,NA,23.0769230769231,0.834597875569044,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,24,1357,NA,8,28,NA,50,2.10684725357412,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,29,1373,NA,5,16,NA,20.8333333333333,1.17907148120855,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,36,1398,NA,7,25,NA,24.1379310344828,1.82083029861617,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,44,1416,NA,8,18,NA,22.2222222222222,1.28755364806867,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,55,1435,NA,11,19,NA,25,1.34180790960452,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,66,1454,NA,11,19,NA,20,1.32404181184669,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,84,1467,NA,18,13,NA,27.2727272727273,0.894085281980743,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,105,1486,NA,21,19,NA,25,1.29516019086571,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,130,1500,NA,25,14,NA,23.8095238095238,0.942126514131898,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,144,1524,NA,14,24,NA,10.7692307692308,1.6,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,177,1559,NA,33,35,NA,22.9166666666667,2.29658792650919,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,215,1599,NA,38,40,NA,21.4689265536723,2.56574727389352,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,251,1632,NA,36,33,NA,16.7441860465116,2.06378986866792,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,301,1687,NA,50,55,NA,19.9203187250996,3.37009803921569,NA,NA,NA,NA,NA,NA,NA,NA
-22,NA,NA,352,1719,NA,51,32,NA,16.9435215946844,1.8968583283936,NA,NA,NA,NA,NA,NA,NA,NA
-21,NA,NA,398,1736,NA,46,17,NA,13.0681818181818,0.988947062245491,NA,NA,NA,NA,NA,NA,NA,NA
-20,NA,NA,448,1772,NA,50,36,NA,12.5628140703518,2.07373271889401,NA,NA,NA,NA,NA,NA,NA,NA
-19,0,2,507,1812,NA,59,40,NA,13.1696428571429,2.25733634311512,NA,NA,NA,NA,NA,NA,NA,NA
-18,1,3,583,1893,1,76,81,50,14.9901380670611,4.47019867549669,NA,NA,NA,NA,NA,NA,NA,NA
-17,2,7,668,1980,4,85,87,133.333333333333,14.5797598627787,4.5958795562599,NA,NA,NA,NA,NA,NA,NA,NA
-16,3,10,761,2054,3,93,74,42.8571428571429,13.9221556886228,3.73737373737374,NA,NA,NA,NA,NA,NA,NA,NA
-15,4,14,840,2113,4,79,59,40,10.3810775295664,2.87244401168452,NA,NA,NA,NA,NA,NA,NA,NA
-14,5,16,908,2163,2,68,50,14.2857142857143,8.09523809523809,2.36630383341221,NA,NA,NA,NA,NA,NA,NA,NA
