"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-151,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-150,NA,NA,NA,152,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-149,NA,NA,NA,163,NA,NA,11,NA,NA,7.23684210526316,NA,NA,NA,NA,NA,NA,NA,NA
-148,NA,NA,NA,304,NA,NA,141,NA,NA,86.5030674846626,NA,NA,NA,NA,NA,NA,NA,NA
-147,NA,NA,NA,351,NA,NA,47,NA,NA,15.4605263157895,NA,NA,NA,NA,NA,NA,NA,NA
-146,NA,NA,NA,440,NA,NA,89,NA,NA,25.3561253561254,NA,NA,NA,NA,NA,NA,NA,NA
-145,NA,NA,NA,562,NA,NA,122,NA,NA,27.7272727272727,NA,NA,NA,NA,NA,NA,NA,NA
-144,NA,NA,NA,700,NA,NA,138,NA,NA,24.5551601423488,NA,NA,NA,NA,NA,NA,NA,NA
-143,NA,NA,NA,861,NA,NA,161,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA
-142,NA,NA,NA,1066,NA,NA,205,NA,NA,23.8095238095238,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,NA,1486,NA,NA,420,NA,NA,39.3996247654784,NA,NA,NA,NA,NA,NA,NA,NA
-140,NA,NA,NA,1981,NA,NA,495,NA,NA,33.3109017496635,NA,NA,NA,NA,NA,NA,NA,NA
-139,NA,NA,NA,2226,NA,NA,245,NA,NA,12.3674911660777,NA,NA,NA,NA,NA,NA,NA,NA
-138,NA,NA,NA,2578,NA,NA,352,NA,NA,15.8131176999102,NA,NA,NA,NA,NA,NA,NA,NA
-137,NA,NA,NA,2919,NA,NA,341,NA,NA,13.2273079906905,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,NA,3281,NA,NA,362,NA,NA,12.4015073655361,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,3728,NA,NA,447,NA,NA,13.6238951539165,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,4204,NA,NA,476,NA,NA,12.7682403433476,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,4779,NA,NA,575,NA,NA,13.6774500475737,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,5297,NA,NA,518,NA,NA,10.8390876752459,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,5807,NA,NA,510,NA,NA,9.62809137247499,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,6264,NA,NA,457,NA,NA,7.86981229550542,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,6723,NA,NA,459,NA,NA,7.32758620689655,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,7281,NA,NA,558,NA,NA,8.29986613119143,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,8022,NA,NA,741,NA,NA,10.1771734651834,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,8773,NA,NA,751,NA,NA,9.3617551732735,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,9590,NA,NA,817,NA,NA,9.31266385500969,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,10463,NA,NA,873,NA,NA,9.10323253388947,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,11289,NA,NA,826,NA,NA,7.89448532925547,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,12208,NA,NA,919,NA,NA,8.14066790681194,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,13181,NA,NA,973,NA,NA,7.97018348623853,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,14027,NA,NA,846,NA,NA,6.41832941354981,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,14917,NA,NA,890,NA,NA,6.34490625222785,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,15828,NA,NA,911,NA,NA,6.10712609774083,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,16705,NA,NA,877,NA,NA,5.54081374778873,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,17489,NA,NA,784,NA,NA,4.69320562705777,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,18350,NA,NA,861,NA,NA,4.92309451655326,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,19255,NA,NA,905,NA,NA,4.93188010899183,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,20168,NA,NA,913,NA,NA,4.74162555180473,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,21101,NA,NA,933,NA,NA,4.62614042046807,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,22052,NA,NA,951,NA,NA,4.50689540780058,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,22973,NA,NA,921,NA,NA,4.17649192816978,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,23906,NA,NA,933,NA,NA,4.0612893396596,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,24873,NA,NA,967,NA,NA,4.04500962101564,NA,NA,NA,NA,NA,NA,NA,NA
