"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-161,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-160,NA,NA,NA,174,NA,NA,70,NA,NA,67.3076923076923,NA,NA,NA,NA,NA,NA,NA,NA
-159,NA,NA,NA,222,NA,NA,48,NA,NA,27.5862068965517,NA,NA,NA,NA,NA,NA,NA,NA
-158,NA,NA,NA,337,NA,NA,115,NA,NA,51.8018018018018,NA,NA,NA,NA,NA,NA,NA,NA
-157,NA,NA,NA,451,NA,NA,114,NA,NA,33.8278931750742,NA,NA,NA,NA,NA,NA,NA,NA
-156,NA,NA,NA,519,NA,NA,68,NA,NA,15.0776053215078,NA,NA,NA,NA,NA,NA,NA,NA
-155,NA,NA,NA,711,NA,NA,192,NA,NA,36.9942196531792,NA,NA,NA,NA,NA,NA,NA,NA
-154,NA,NA,NA,1109,NA,NA,398,NA,NA,55.9774964838256,NA,NA,NA,NA,NA,NA,NA,NA
-153,NA,NA,NA,1561,NA,NA,452,NA,NA,40.7574391343553,NA,NA,NA,NA,NA,NA,NA,NA
-152,NA,NA,NA,2157,NA,NA,596,NA,NA,38.1806534272902,NA,NA,NA,NA,NA,NA,NA,NA
-151,NA,NA,NA,2870,NA,NA,713,NA,NA,33.0551692165044,NA,NA,NA,NA,NA,NA,NA,NA
-150,NA,NA,NA,2968,NA,NA,98,NA,NA,3.41463414634146,NA,NA,NA,NA,NA,NA,NA,NA
-149,NA,NA,NA,4360,NA,NA,1392,NA,NA,46.900269541779,NA,NA,NA,NA,NA,NA,NA,NA
-148,NA,NA,NA,6141,NA,NA,1781,NA,NA,40.848623853211,NA,NA,NA,NA,NA,NA,NA,NA
-147,NA,NA,NA,8917,NA,NA,2776,NA,NA,45.2043641100798,NA,NA,NA,NA,NA,NA,NA,NA
-146,NA,NA,NA,14157,NA,NA,5240,NA,NA,58.7641583492206,NA,NA,NA,NA,NA,NA,NA,NA
-145,NA,NA,NA,19479,NA,NA,5322,NA,NA,37.592710319983,NA,NA,NA,NA,NA,NA,NA,NA
-144,NA,NA,NA,25825,NA,NA,6346,NA,NA,32.578674469942,NA,NA,NA,NA,NA,NA,NA,NA
-143,NA,NA,NA,33761,NA,NA,7936,NA,NA,30.729912875121,NA,NA,NA,NA,NA,NA,NA,NA
-142,NA,NA,NA,43850,NA,NA,10089,NA,NA,29.8835934954533,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,NA,54112,NA,NA,10262,NA,NA,23.4025085518814,NA,NA,NA,NA,NA,NA,NA,NA
-140,NA,NA,NA,66055,NA,NA,11943,NA,NA,22.0708900059137,NA,NA,NA,NA,NA,NA,NA,NA
-139,NA,NA,NA,84091,NA,NA,18036,NA,NA,27.3045189614715,NA,NA,NA,NA,NA,NA,NA,NA
-138,NA,NA,NA,102276,NA,NA,18185,NA,NA,21.625382026614,NA,NA,NA,NA,NA,NA,NA,NA
-137,NA,NA,NA,122069,NA,NA,19793,NA,NA,19.3525362743948,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,NA,141205,NA,NA,19136,NA,NA,15.6763797524351,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,162707,NA,NA,21502,NA,NA,15.2275061081406,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,188724,NA,NA,26017,NA,NA,15.9900926204773,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,214205,NA,NA,25481,NA,NA,13.501727390263,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,244610,NA,NA,30405,NA,NA,14.1943465371957,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,276547,NA,NA,31937,NA,NA,13.0562936919995,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,309699,NA,NA,33152,NA,NA,11.9878357024303,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,337573,NA,NA,27874,NA,NA,9.00035195463983,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,367215,NA,NA,29642,NA,NA,8.78091553530644,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,397992,NA,NA,30777,NA,NA,8.38119357869368,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,429686,NA,NA,31694,NA,NA,7.96347665279704,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,464442,NA,NA,34756,NA,NA,8.08869732781613,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,497943,NA,NA,33501,NA,NA,7.21317193535468,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,527969,NA,NA,30026,NA,NA,6.03000745065198,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,556522,NA,NA,28553,NA,NA,5.40808267152049,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,581813,NA,NA,25291,NA,NA,4.54447443227761,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,608878,NA,NA,27065,NA,NA,4.65183830543491,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,637974,NA,NA,29096,NA,NA,4.7786256031586,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,669272,NA,NA,31298,NA,NA,4.90584255784719,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,701996,NA,NA,32724,NA,NA,4.8894918657885,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,730337,NA,NA,28341,NA,NA,4.03720249118229,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,756375,NA,NA,26038,NA,NA,3.56520346086807,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,783716,NA,NA,27341,NA,NA,3.61474136506363,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,809318,NA,NA,25602,NA,NA,3.26674458604903,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,837422,NA,NA,28104,NA,NA,3.4725534338789,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,871617,NA,NA,34195,NA,NA,4.08336537611861,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,907908,NA,NA,36291,NA,NA,4.16364068162966,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,940829,NA,NA,32921,NA,NA,3.62602818787807,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,968518,NA,NA,27689,NA,NA,2.94304278460804,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,990983,NA,NA,22465,NA,NA,2.31952323033748,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,1015518,NA,NA,24535,NA,NA,2.47582450960309,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,1043038,NA,NA,27520,NA,NA,2.70994704180527,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,1072667,NA,NA,29629,NA,NA,2.84064434852805,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,1106829,NA,NA,34162,NA,NA,3.1847721613511,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,1136024,NA,NA,29195,NA,NA,2.63771549173359,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,1161611,NA,NA,25587,NA,NA,2.25232917614417,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,1184086,NA,NA,22475,NA,NA,1.93481294512535,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,1208271,NA,NA,24185,NA,NA,2.04250366949698,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,1233527,NA,NA,25256,NA,NA,2.09025955269968,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,1261409,NA,NA,27882,NA,NA,2.2603477670128,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,1288587,NA,NA,27178,NA,NA,2.15457476520304,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,1314320,NA,NA,25733,NA,NA,1.99699360617483,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,1334084,NA,NA,19764,NA,NA,1.50374338060746,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,1352962,NA,NA,18878,NA,NA,1.41505332497804,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,1375152,NA,NA,22190,NA,NA,1.64010519142445,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,1396110,NA,NA,20958,NA,NA,1.52404970505079,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,1423727,NA,NA,27617,NA,NA,1.97813925836789,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,1449027,NA,NA,25300,NA,NA,1.77702607311655,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,1474128,NA,NA,25101,NA,NA,1.73226585840015,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,1493132,NA,NA,19004,NA,NA,1.28916891884558,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,1514901,NA,NA,21769,NA,NA,1.45794209755065,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,1535350,NA,NA,20449,NA,NA,1.34985718538703,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,1559157,NA,NA,23807,NA,NA,1.55059107043996,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,1584512,NA,NA,25355,NA,NA,1.62619928589616,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,1608653,NA,NA,24141,NA,NA,1.52356056628161,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,1630476,NA,NA,21823,NA,NA,1.35660083311939,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,1651289,NA,NA,20813,NA,NA,1.2764983967872,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,1670280,NA,NA,18991,NA,NA,1.15007124737099,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,1689163,NA,NA,18883,NA,NA,1.1305290130996,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,1707445,NA,NA,18282,NA,NA,1.08231118015254,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,1730260,NA,NA,22815,NA,NA,1.33620702277379,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,1754764,NA,NA,24504,NA,NA,1.416203345162,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,1779214,NA,NA,24450,NA,NA,1.3933497609935,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,1799124,NA,NA,19910,NA,NA,1.11903346084282,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,1816479,NA,NA,17355,NA,NA,0.964636122913151,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,1837374,NA,NA,20895,NA,NA,1.15030231563371,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,1857332,NA,NA,19958,NA,NA,1.08622414380524,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,1878683,NA,NA,21351,NA,NA,1.14955215330377,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,842,1903907,NA,NA,25224,NA,NA,1.34264269171542,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,1245,1926639,NA,403,22732,NA,47.8622327790974,1.19396588173687,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,1750,1944370,NA,505,17731,NA,40.5622489959839,0.920307333132985,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,2462,1961785,NA,712,17415,NA,40.6857142857143,0.895662862521022,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,3560,1979912,NA,1098,18127,NA,44.5978878960195,0.924005433826846,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,4826,2000706,NA,1266,20794,NA,35.561797752809,1.05024869792193,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,6130,2023656,NA,1304,22950,NA,27.0203066721923,1.14709507543837,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,9206,2048986,NA,3076,25330,NA,50.1794453507341,1.25169495210648,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,11065,2074542,NA,1859,25556,NA,20.1933521616337,1.24725107931435,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,13597,2094366,NA,2532,19824,NA,22.8829643018527,0.95558441333075,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,16787,2114026,NA,3190,19660,NA,23.4610575862323,0.938708898062707,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,20967,2137731,NA,4180,23705,NA,24.9002204086496,1.121320172978,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,25195,2163290,NA,4228,25559,NA,20.1650212238279,1.19561347989995,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,31972,2191099,NA,6777,27809,NA,26.8981940861282,1.28549570330376,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,40080,2222579,NA,8108,31480,NA,25.3596897285124,1.43672193725614,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,49846,2255328,NA,9766,32749,NA,24.3662674650699,1.47346843464282,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,55156,2281767,NA,5310,26439,NA,10.652810656823,1.17229068233091,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,67726,2312303,NA,12570,30536,NA,22.7899049967365,1.33826109326675,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,82133,2347491,NA,14407,35188,NA,21.2724802882202,1.52177288184118,NA,NA,NA,NA,NA,NA,NA,NA
