"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-136,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,136,NA,NA,24,NA,NA,21.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,191,NA,NA,55,NA,NA,40.4411764705882,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,237,NA,NA,46,NA,NA,24.0837696335079,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,237,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,281,NA,NA,44,NA,NA,18.5654008438819,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,315,NA,NA,34,NA,NA,12.0996441281139,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,363,NA,NA,48,NA,NA,15.2380952380952,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,403,NA,NA,40,NA,NA,11.0192837465565,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,495,NA,NA,92,NA,NA,22.8287841191067,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,543,NA,NA,48,NA,NA,9.6969696969697,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,624,NA,NA,81,NA,NA,14.9171270718232,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,686,NA,NA,62,NA,NA,9.93589743589744,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,794,NA,NA,108,NA,NA,15.7434402332362,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,865,NA,NA,71,NA,NA,8.94206549118388,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,1091,NA,NA,226,NA,NA,26.1271676300578,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,1091,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,1174,NA,NA,83,NA,NA,7.6076993583868,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,1245,NA,NA,71,NA,NA,6.04770017035775,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,1345,NA,NA,100,NA,NA,8.03212851405623,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,1407,NA,NA,62,NA,NA,4.60966542750929,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,1484,NA,NA,77,NA,NA,5.4726368159204,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,1597,NA,NA,113,NA,NA,7.61455525606469,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,1711,NA,NA,114,NA,NA,7.13838447088291,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,1798,NA,NA,87,NA,NA,5.08474576271187,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,1845,NA,NA,47,NA,NA,2.61401557285873,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,1971,NA,NA,126,NA,NA,6.82926829268293,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,2072,NA,NA,101,NA,NA,5.12430238457636,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,2210,NA,NA,138,NA,NA,6.66023166023166,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,2379,NA,NA,169,NA,NA,7.64705882352941,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,2521,NA,NA,142,NA,NA,5.96889449348466,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,2660,NA,NA,139,NA,NA,5.51368504561682,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,2726,NA,NA,66,NA,NA,2.4812030075188,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,2823,NA,NA,97,NA,NA,3.55832721936904,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,2974,NA,NA,151,NA,NA,5.34891958908962,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,3213,NA,NA,239,NA,NA,8.03631472763954,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,3411,NA,NA,198,NA,NA,6.1624649859944,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,3513,NA,NA,102,NA,NA,2.99032541776605,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,3732,NA,NA,219,NA,NA,6.23398804440649,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,3850,NA,NA,118,NA,NA,3.16184351554126,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,4031,NA,NA,181,NA,NA,4.7012987012987,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,4138,NA,NA,107,NA,NA,2.65442818159266,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,4291,NA,NA,153,NA,NA,3.69743837602707,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,4493,NA,NA,202,NA,NA,4.70752738289443,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,4673,NA,NA,180,NA,NA,4.00623191631427,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,4778,NA,NA,105,NA,NA,2.24695056708752,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,4863,NA,NA,85,NA,NA,1.77898702385936,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,5069,NA,NA,206,NA,NA,4.23606827061485,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,5212,NA,NA,143,NA,NA,2.82106924442691,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,5364,NA,NA,152,NA,NA,2.91634689178818,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,5503,NA,NA,139,NA,NA,2.59134973900075,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,5662,NA,NA,159,NA,NA,2.88933309104125,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,5857,NA,NA,195,NA,NA,3.44401271635464,NA,NA,NA,NA,NA,NA,NA,NA
