"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-43,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,NA,133,NA,NA,19,NA,NA,16.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,NA,157,NA,NA,24,NA,NA,18.0451127819549,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,NA,202,NA,NA,45,NA,NA,28.6624203821656,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,NA,202,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,101,252,NA,NA,50,NA,NA,24.7524752475248,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,150,293,NA,49,41,NA,48.5148514851485,16.2698412698413,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,210,335,NA,60,42,NA,40,14.3344709897611,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,296,483,NA,86,148,NA,40.9523809523809,44.1791044776119,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,428,611,NA,132,128,NA,44.5945945945946,26.5010351966874,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,580,924,NA,152,313,NA,35.5140186915888,51.227495908347,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,737,1063,NA,157,139,NA,27.0689655172414,15.04329004329,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,1107,1279,NA,370,216,NA,50.2035278154681,20.3198494825964,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,1331,1536,NA,224,257,NA,20.2348690153568,20.0938232994527,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,1635,1733,NA,304,197,NA,22.839969947408,12.8255208333333,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,2019,2102,NA,384,369,NA,23.4862385321101,21.2925562608194,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,2521,2355,NA,502,253,NA,24.8637939574047,12.0361560418649,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,3030,3006,NA,509,651,NA,20.1904006346688,27.6433121019108,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,3845,3879,NA,815,873,NA,26.8976897689769,29.0419161676647,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,4820,4643,NA,975,764,NA,25.3576072821847,19.6957978860531,NA,NA,NA,NA,NA,NA,NA,NA
