"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-176,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-175,1,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-174,2,2,NA,NA,1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-173,3,3,NA,NA,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-172,4,4,NA,NA,1,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-171,5,5,NA,NA,1,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-170,6,6,NA,NA,1,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-169,7,9,NA,NA,3,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-168,8,12,NA,NA,3,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-167,9,16,NA,NA,4,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-166,10,19,NA,NA,3,NA,NA,18.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-165,11,22,NA,NA,3,NA,NA,15.7894736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-164,12,26,NA,NA,4,NA,NA,18.1818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-163,13,28,NA,NA,2,NA,NA,7.69230769230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-162,14,30,NA,NA,2,NA,NA,7.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-161,15,33,NA,NA,3,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-160,16,35,NA,NA,2,NA,NA,6.06060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-159,17,36,NA,NA,1,NA,NA,2.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-158,18,37,NA,NA,1,NA,NA,2.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-157,19,37,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-156,20,39,NA,NA,2,NA,NA,5.40540540540541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-155,21,39,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-154,22,40,NA,NA,1,NA,NA,2.56410256410256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-153,23,40,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-152,24,41,NA,NA,1,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-151,25,41,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-150,26,41,NA,51,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-149,27,42,NA,53,1,NA,2,2.4390243902439,NA,3.92156862745098,NA,NA,NA,NA,NA,NA,NA,NA
-148,28,43,NA,56,1,NA,3,2.38095238095238,NA,5.66037735849057,NA,NA,NA,NA,NA,NA,NA,NA
-147,29,43,NA,62,0,NA,6,0,NA,10.7142857142857,NA,NA,NA,NA,NA,NA,NA,NA
-146,30,44,NA,62,1,NA,0,2.32558139534884,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-145,31,44,NA,66,0,NA,4,0,NA,6.45161290322581,NA,NA,NA,NA,NA,NA,NA,NA
-144,32,45,NA,68,1,NA,2,2.27272727272727,NA,3.03030303030303,NA,NA,NA,NA,NA,NA,NA,NA
-143,33,45,NA,69,0,NA,1,0,NA,1.47058823529412,NA,NA,NA,NA,NA,NA,NA,NA
-142,34,45,NA,71,0,NA,2,0,NA,2.89855072463768,NA,NA,NA,NA,NA,NA,NA,NA
-141,35,46,NA,71,1,NA,0,2.22222222222222,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-140,36,46,NA,74,0,NA,3,0,NA,4.22535211267606,NA,NA,NA,NA,NA,NA,NA,NA
-139,37,47,NA,74,1,NA,0,2.17391304347826,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-138,38,48,NA,76,1,NA,2,2.12765957446809,NA,2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
-137,39,48,NA,76,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-136,40,49,NA,76,1,NA,0,2.08333333333333,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-135,41,49,NA,76,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-134,42,50,NA,77,1,NA,1,2.04081632653061,NA,1.31578947368421,NA,NA,NA,NA,NA,NA,NA,NA
-133,43,50,NA,78,0,NA,1,0,NA,1.2987012987013,NA,NA,NA,NA,NA,NA,NA,NA
-132,44,50,NA,81,0,NA,3,0,NA,3.84615384615385,NA,NA,NA,NA,NA,NA,NA,NA
-131,45,51,NA,81,1,NA,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-130,46,51,NA,81,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-129,47,51,NA,81,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-128,48,52,NA,82,1,NA,1,1.96078431372549,NA,1.23456790123457,NA,NA,NA,NA,NA,NA,NA,NA
-127,49,52,NA,87,0,NA,5,0,NA,6.09756097560976,NA,NA,NA,NA,NA,NA,NA,NA
-126,50,52,NA,87,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-125,51,52,NA,88,0,NA,1,0,NA,1.14942528735632,NA,NA,NA,NA,NA,NA,NA,NA
-124,52,52,NA,89,0,NA,1,0,NA,1.13636363636364,NA,NA,NA,NA,NA,NA,NA,NA
-123,53,52,NA,91,0,NA,2,0,NA,2.24719101123596,NA,NA,NA,NA,NA,NA,NA,NA
-122,54,52,NA,91,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-121,55,53,NA,91,1,NA,0,1.92307692307692,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-120,56,53,NA,91,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-119,57,53,NA,92,0,NA,1,0,NA,1.0989010989011,NA,NA,NA,NA,NA,NA,NA,NA
-118,58,53,NA,92,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-117,59,53,NA,94,0,NA,2,0,NA,2.17391304347826,NA,NA,NA,NA,NA,NA,NA,NA
-116,60,53,NA,94,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-115,61,53,NA,94,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-114,62,53,NA,94,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-113,63,53,NA,94,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-112,64,53,NA,96,0,NA,2,0,NA,2.12765957446809,NA,NA,NA,NA,NA,NA,NA,NA
-111,65,53,NA,96,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-110,66,53,NA,96,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-109,67,53,NA,97,0,NA,1,0,NA,1.04166666666667,NA,NA,NA,NA,NA,NA,NA,NA
-108,68,53,NA,97,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-107,69,53,NA,98,0,NA,1,0,NA,1.03092783505155,NA,NA,NA,NA,NA,NA,NA,NA
-106,70,54,NA,98,1,NA,0,1.88679245283019,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-105,71,54,NA,98,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-104,72,54,NA,102,0,NA,4,0,NA,4.08163265306122,NA,NA,NA,NA,NA,NA,NA,NA
-103,73,54,NA,102,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-102,74,54,NA,102,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-101,75,54,NA,107,0,NA,5,0,NA,4.90196078431373,NA,NA,NA,NA,NA,NA,NA,NA
-100,76,54,NA,107,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-99,77,54,NA,107,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-98,78,54,NA,112,0,NA,5,0,NA,4.67289719626168,NA,NA,NA,NA,NA,NA,NA,NA
-97,79,54,NA,113,0,NA,1,0,NA,0.892857142857143,NA,NA,NA,NA,NA,NA,NA,NA
-96,80,54,NA,113,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-95,81,54,NA,118,0,NA,5,0,NA,4.42477876106195,NA,NA,NA,NA,NA,NA,NA,NA
-94,82,54,NA,118,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-93,83,55,NA,118,1,NA,0,1.85185185185185,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-92,84,55,NA,120,0,NA,2,0,NA,1.69491525423729,NA,NA,NA,NA,NA,NA,NA,NA
-91,85,55,NA,121,0,NA,1,0,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-90,86,55,NA,123,0,NA,2,0,NA,1.65289256198347,NA,NA,NA,NA,NA,NA,NA,NA
-89,87,55,NA,125,0,NA,2,0,NA,1.6260162601626,NA,NA,NA,NA,NA,NA,NA,NA
-88,88,55,NA,127,0,NA,2,0,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA
-87,89,55,NA,129,0,NA,2,0,NA,1.5748031496063,NA,NA,NA,NA,NA,NA,NA,NA
-86,90,55,NA,129,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-85,91,55,NA,132,0,NA,3,0,NA,2.32558139534884,NA,NA,NA,NA,NA,NA,NA,NA
-84,92,55,NA,138,0,NA,6,0,NA,4.54545454545455,NA,NA,NA,NA,NA,NA,NA,NA
-83,93,56,NA,141,1,NA,3,1.81818181818182,NA,2.17391304347826,NA,NA,NA,NA,NA,NA,NA,NA
-82,94,56,NA,150,0,NA,9,0,NA,6.38297872340426,NA,NA,NA,NA,NA,NA,NA,NA
-81,95,56,NA,153,0,NA,3,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
-80,96,56,NA,158,0,NA,5,0,NA,3.26797385620915,NA,NA,NA,NA,NA,NA,NA,NA
-79,97,56,NA,163,0,NA,5,0,NA,3.16455696202532,NA,NA,NA,NA,NA,NA,NA,NA
-78,98,57,NA,178,1,NA,15,1.78571428571429,NA,9.20245398773006,NA,NA,NA,NA,NA,NA,NA,NA
-77,99,57,NA,196,0,NA,18,0,NA,10.1123595505618,NA,NA,NA,NA,NA,NA,NA,NA
-76,100,57,NA,222,0,NA,26,0,NA,13.265306122449,NA,NA,NA,NA,NA,NA,NA,NA
-75,101,57,NA,245,0,NA,23,0,NA,10.3603603603604,NA,NA,NA,NA,NA,NA,NA,NA
-74,102,57,NA,262,0,NA,17,0,NA,6.93877551020408,NA,NA,NA,NA,NA,NA,NA,NA
-73,103,58,NA,303,1,NA,41,1.75438596491228,NA,15.6488549618321,NA,NA,NA,NA,NA,NA,NA,NA
