"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-130,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,110,NA,NA,1,NA,NA,0.917431192660551,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,150,NA,NA,40,NA,NA,36.3636363636364,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,196,NA,NA,46,NA,NA,30.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,196,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,256,NA,NA,60,NA,NA,30.6122448979592,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,285,NA,NA,29,NA,NA,11.328125,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,294,NA,NA,9,NA,NA,3.15789473684211,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,327,NA,NA,33,NA,NA,11.2244897959184,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,366,NA,NA,39,NA,NA,11.9266055045872,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,402,NA,NA,36,NA,NA,9.83606557377049,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,456,NA,NA,54,NA,NA,13.4328358208955,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,495,NA,NA,39,NA,NA,8.55263157894737,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,536,NA,NA,41,NA,NA,8.28282828282828,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,576,NA,NA,40,NA,NA,7.46268656716418,NA,NA,NA,NA,NA,NA,NA,NA
