"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-107,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,78,NA,NA,10,NA,NA,14.7058823529412,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,96,NA,NA,18,NA,NA,23.0769230769231,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,106,NA,NA,10,NA,NA,10.4166666666667,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,125,NA,NA,19,NA,NA,17.9245283018868,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,153,NA,NA,28,NA,NA,22.4,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,153,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,225,NA,NA,72,NA,NA,47.0588235294118,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,252,NA,NA,27,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,269,NA,NA,17,NA,NA,6.74603174603175,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,269,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,300,NA,NA,31,NA,NA,11.5241635687732,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,346,NA,NA,46,NA,NA,15.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,346,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,393,NA,NA,47,NA,NA,13.5838150289017,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,482,NA,NA,89,NA,NA,22.64631043257,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,505,NA,NA,23,NA,NA,4.77178423236515,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,531,NA,NA,26,NA,NA,5.14851485148515,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,540,NA,NA,9,NA,NA,1.69491525423729,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,587,NA,NA,47,NA,NA,8.7037037037037,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,645,NA,NA,58,NA,NA,9.88074957410562,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,674,NA,NA,29,NA,NA,4.49612403100775,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,706,NA,NA,32,NA,NA,4.74777448071217,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,780,NA,NA,74,NA,NA,10.4815864022663,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,802,NA,NA,22,NA,NA,2.82051282051282,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,802,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,857,NA,NA,55,NA,NA,6.85785536159601,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,887,NA,NA,30,NA,NA,3.50058343057176,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,924,NA,NA,37,NA,NA,4.17136414881623,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,961,NA,NA,37,NA,NA,4.004329004329,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,986,NA,NA,25,NA,NA,2.60145681581686,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,998,NA,NA,12,NA,NA,1.21703853955375,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,1029,NA,NA,31,NA,NA,3.1062124248497,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,1080,NA,NA,51,NA,NA,4.95626822157434,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,1119,NA,NA,39,NA,NA,3.61111111111111,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,1190,NA,NA,71,NA,NA,6.3449508489723,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,1276,NA,NA,86,NA,NA,7.22689075630252,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,1322,NA,NA,46,NA,NA,3.60501567398119,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,1340,NA,NA,18,NA,NA,1.36157337367625,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,1340,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,1413,NA,NA,73,NA,NA,5.44776119402985,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,1456,NA,NA,43,NA,NA,3.04317055909413,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,1607,NA,NA,151,NA,NA,10.3708791208791,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,1655,NA,NA,48,NA,NA,2.9869321717486,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,NA,1726,NA,NA,71,NA,NA,4.29003021148036,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,NA,1772,NA,NA,46,NA,NA,2.66512166859791,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,NA,1800,NA,NA,28,NA,NA,1.58013544018059,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,NA,1852,NA,NA,52,NA,NA,2.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,NA,1930,NA,NA,78,NA,NA,4.21166306695464,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,NA,2046,NA,NA,116,NA,NA,6.01036269430052,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,NA,2160,NA,NA,114,NA,NA,5.57184750733138,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,NA,2265,NA,NA,105,NA,NA,4.86111111111111,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,NA,2340,NA,NA,75,NA,NA,3.3112582781457,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,NA,2376,NA,NA,36,NA,NA,1.53846153846154,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,NA,2393,NA,NA,17,NA,NA,0.715488215488216,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,NA,2461,NA,NA,68,NA,NA,2.84162139573757,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,NA,2569,NA,NA,108,NA,NA,4.38845997561967,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,NA,2623,NA,NA,54,NA,NA,2.10198520825224,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,NA,2704,NA,NA,81,NA,NA,3.0880670987419,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,NA,2764,NA,NA,60,NA,NA,2.2189349112426,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,NA,2794,NA,NA,30,NA,NA,1.08538350217077,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,1,2833,NA,NA,39,NA,NA,1.39584824624195,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,2,2872,NA,1,39,NA,100,1.37663254500529,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,3,3069,NA,1,197,NA,50,6.85933147632312,NA,NA,NA,NA,NA,NA,NA,NA
-43,NA,NA,4,3213,NA,1,144,NA,33.3333333333333,4.69208211143695,NA,NA,NA,NA,NA,NA,NA,NA
-42,NA,NA,6,3298,NA,2,85,NA,50,2.64550264550265,NA,NA,NA,NA,NA,NA,NA,NA
-41,NA,NA,9,3376,NA,3,78,NA,50,2.3650697392359,NA,NA,NA,NA,NA,NA,NA,NA
-40,NA,NA,12,3453,NA,3,77,NA,33.3333333333333,2.28080568720379,NA,NA,NA,NA,NA,NA,NA,NA
-39,NA,NA,16,3512,NA,4,59,NA,33.3333333333333,1.70865913698233,NA,NA,NA,NA,NA,NA,NA,NA
-38,NA,NA,24,3582,NA,8,70,NA,50,1.99316628701595,NA,NA,NA,NA,NA,NA,NA,NA
-37,NA,NA,28,3650,NA,4,68,NA,16.6666666666667,1.89838079285315,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,35,3695,NA,7,45,NA,25,1.23287671232877,NA,NA,NA,NA,NA,NA,NA,NA
-35,NA,NA,43,3794,NA,8,99,NA,22.8571428571429,2.67929634641407,NA,NA,NA,NA,NA,NA,NA,NA
-34,NA,NA,54,3834,NA,11,40,NA,25.5813953488372,1.05429625724829,NA,NA,NA,NA,NA,NA,NA,NA
-33,NA,NA,64,3911,NA,10,77,NA,18.5185185185185,2.00834637454356,NA,NA,NA,NA,NA,NA,NA,NA
-32,NA,NA,82,3948,NA,18,37,NA,28.125,0.946049603681923,NA,NA,NA,NA,NA,NA,NA,NA
-31,NA,NA,103,3999,NA,21,51,NA,25.609756097561,1.29179331306991,NA,NA,NA,NA,NA,NA,NA,NA
-30,NA,NA,128,4088,NA,25,89,NA,24.2718446601942,2.22555638909727,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,141,4178,NA,13,90,NA,10.15625,2.20156555772994,NA,NA,NA,NA,NA,NA,NA,NA
-28,NA,NA,173,4340,NA,32,162,NA,22.6950354609929,3.87745332695069,NA,NA,NA,NA,NA,NA,NA,NA
-27,NA,NA,210,4488,NA,37,148,NA,21.3872832369942,3.41013824884793,NA,NA,NA,NA,NA,NA,NA,NA
-26,NA,NA,246,4553,NA,36,65,NA,17.1428571428571,1.44830659536542,NA,NA,NA,NA,NA,NA,NA,NA
-25,NA,NA,294,4677,NA,48,124,NA,19.5121951219512,2.7234790248188,NA,NA,NA,NA,NA,NA,NA,NA
-24,NA,NA,344,4809,NA,50,132,NA,17.0068027210884,2.82232200128287,NA,NA,NA,NA,NA,NA,NA,NA
-23,NA,NA,389,4984,NA,45,175,NA,13.0813953488372,3.63901018922853,NA,NA,NA,NA,NA,NA,NA,NA
-22,0,2,438,5217,NA,49,233,NA,12.5964010282776,4.67495987158908,NA,NA,NA,NA,NA,NA,NA,NA
-21,1,3,497,5330,1,59,113,50,13.4703196347032,2.16599578301706,NA,NA,NA,NA,NA,NA,NA,NA
-20,2,7,571,5614,4,74,284,133.333333333333,14.8893360160966,5.32833020637899,NA,NA,NA,NA,NA,NA,NA,NA
-19,3,10,654,5745,3,83,131,42.8571428571429,14.5359019264448,2.33345208407553,NA,NA,NA,NA,NA,NA,NA,NA
-18,4,14,745,5928,4,91,183,40,13.914373088685,3.18537859007833,NA,NA,NA,NA,NA,NA,NA,NA
-17,5,16,822,6124,2,77,196,14.2857142857143,10.3355704697987,3.30634278002699,NA,NA,NA,NA,NA,NA,NA,NA
-16,6,21,889,6389,5,67,265,31.25,8.15085158150852,4.32723709993468,NA,NA,NA,NA,NA,NA,NA,NA
-15,7,29,962,6665,8,73,276,38.0952380952381,8.21147356580427,4.31992487087181,NA,NA,NA,NA,NA,NA,NA,NA
-14,8,38,1034,6953,9,72,288,31.0344827586207,7.48440748440748,4.32108027006752,NA,NA,NA,NA,NA,NA,NA,NA
-13,9,52,1121,7213,14,87,260,36.8421052631579,8.41392649903288,3.73939306774054,NA,NA,NA,NA,NA,NA,NA,NA
-12,10,61,1203,7461,9,82,248,17.3076923076923,7.31489741302409,3.43823651739914,NA,NA,NA,NA,NA,NA,NA,NA
-11,11,71,1286,7642,10,83,181,16.3934426229508,6.89941812136326,2.42594826430773,NA,NA,NA,NA,NA,NA,NA,NA
-10,12,85,1358,8035,14,72,393,19.7183098591549,5.59875583203732,5.14263281863387,NA,NA,NA,NA,NA,NA,NA,NA
