"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-163,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-162,NA,NA,NA,152,NA,NA,38,NA,NA,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
-161,NA,NA,NA,219,NA,NA,67,NA,NA,44.078947368421,NA,NA,NA,NA,NA,NA,NA,NA
-160,NA,NA,NA,254,NA,NA,35,NA,NA,15.9817351598174,NA,NA,NA,NA,NA,NA,NA,NA
-159,NA,NA,NA,290,NA,NA,36,NA,NA,14.1732283464567,NA,NA,NA,NA,NA,NA,NA,NA
-158,NA,NA,NA,391,NA,NA,101,NA,NA,34.8275862068965,NA,NA,NA,NA,NA,NA,NA,NA
-157,NA,NA,NA,460,NA,NA,69,NA,NA,17.6470588235294,NA,NA,NA,NA,NA,NA,NA,NA
-156,NA,NA,NA,604,NA,NA,144,NA,NA,31.304347826087,NA,NA,NA,NA,NA,NA,NA,NA
-155,NA,NA,NA,739,NA,NA,135,NA,NA,22.3509933774834,NA,NA,NA,NA,NA,NA,NA,NA
-154,NA,NA,NA,890,NA,NA,151,NA,NA,20.4330175913396,NA,NA,NA,NA,NA,NA,NA,NA
-153,NA,NA,NA,1020,NA,NA,130,NA,NA,14.6067415730337,NA,NA,NA,NA,NA,NA,NA,NA
-152,NA,NA,NA,1250,NA,NA,230,NA,NA,22.5490196078431,NA,NA,NA,NA,NA,NA,NA,NA
-151,NA,NA,NA,1484,NA,NA,234,NA,NA,18.72,NA,NA,NA,NA,NA,NA,NA,NA
-150,NA,NA,NA,1706,NA,NA,222,NA,NA,14.9595687331536,NA,NA,NA,NA,NA,NA,NA,NA
-149,NA,NA,NA,2012,NA,NA,306,NA,NA,17.936694021102,NA,NA,NA,NA,NA,NA,NA,NA
-148,NA,NA,NA,2407,NA,NA,395,NA,NA,19.6322067594433,NA,NA,NA,NA,NA,NA,NA,NA
-147,NA,NA,NA,2637,NA,NA,230,NA,NA,9.5554632322393,NA,NA,NA,NA,NA,NA,NA,NA
-146,NA,NA,NA,2878,NA,NA,241,NA,NA,9.13917330299583,NA,NA,NA,NA,NA,NA,NA,NA
-145,NA,NA,NA,3333,NA,NA,455,NA,NA,15.8095899930507,NA,NA,NA,NA,NA,NA,NA,NA
-144,NA,NA,NA,3645,NA,NA,312,NA,NA,9.36093609360936,NA,NA,NA,NA,NA,NA,NA,NA
-143,NA,NA,NA,4042,NA,NA,397,NA,NA,10.8916323731139,NA,NA,NA,NA,NA,NA,NA,NA
-142,NA,NA,NA,4509,NA,NA,467,NA,NA,11.5536862939139,NA,NA,NA,NA,NA,NA,NA,NA
-141,NA,NA,NA,5077,NA,NA,568,NA,NA,12.5970281658904,NA,NA,NA,NA,NA,NA,NA,NA
-140,NA,NA,NA,5274,NA,NA,197,NA,NA,3.88024423872366,NA,NA,NA,NA,NA,NA,NA,NA
-139,NA,NA,NA,5747,NA,NA,473,NA,NA,8.96852483883201,NA,NA,NA,NA,NA,NA,NA,NA
-138,NA,NA,NA,6171,NA,NA,424,NA,NA,7.37776231077084,NA,NA,NA,NA,NA,NA,NA,NA
-137,NA,NA,NA,6500,NA,NA,329,NA,NA,5.33138875384865,NA,NA,NA,NA,NA,NA,NA,NA
-136,NA,NA,NA,6889,NA,NA,389,NA,NA,5.98461538461538,NA,NA,NA,NA,NA,NA,NA,NA
-135,NA,NA,NA,7491,NA,NA,602,NA,NA,8.73856873276237,NA,NA,NA,NA,NA,NA,NA,NA
-134,NA,NA,NA,8053,NA,NA,562,NA,NA,7.50233613669737,NA,NA,NA,NA,NA,NA,NA,NA
-133,NA,NA,NA,8537,NA,NA,484,NA,NA,6.01018254066807,NA,NA,NA,NA,NA,NA,NA,NA
-132,NA,NA,NA,8990,NA,NA,453,NA,NA,5.30631369333489,NA,NA,NA,NA,NA,NA,NA,NA
-131,NA,NA,NA,9630,NA,NA,640,NA,NA,7.11902113459399,NA,NA,NA,NA,NA,NA,NA,NA
-130,NA,NA,NA,10266,NA,NA,636,NA,NA,6.60436137071651,NA,NA,NA,NA,NA,NA,NA,NA
-129,NA,NA,NA,10998,NA,NA,732,NA,NA,7.13033313851549,NA,NA,NA,NA,NA,NA,NA,NA
-128,NA,NA,NA,11594,NA,NA,596,NA,NA,5.41916712129478,NA,NA,NA,NA,NA,NA,NA,NA
-127,NA,NA,NA,12366,NA,NA,772,NA,NA,6.6586165257892,NA,NA,NA,NA,NA,NA,NA,NA
-126,NA,NA,NA,12970,NA,NA,604,NA,NA,4.88436034287563,NA,NA,NA,NA,NA,NA,NA,NA
-125,NA,NA,NA,13535,NA,NA,565,NA,NA,4.3562066306862,NA,NA,NA,NA,NA,NA,NA,NA
-124,NA,NA,NA,14339,NA,NA,804,NA,NA,5.94015515330624,NA,NA,NA,NA,NA,NA,NA,NA
-123,NA,NA,NA,14961,NA,NA,622,NA,NA,4.33781993165493,NA,NA,NA,NA,NA,NA,NA,NA
-122,NA,NA,NA,15846,NA,NA,885,NA,NA,5.91537998796872,NA,NA,NA,NA,NA,NA,NA,NA
-121,NA,NA,NA,16901,NA,NA,1055,NA,NA,6.6578316294333,NA,NA,NA,NA,NA,NA,NA,NA
-120,NA,NA,NA,17731,NA,NA,830,NA,NA,4.91095201467369,NA,NA,NA,NA,NA,NA,NA,NA
-119,NA,NA,NA,18671,NA,NA,940,NA,NA,5.30144943883594,NA,NA,NA,NA,NA,NA,NA,NA
-118,NA,NA,NA,19492,NA,NA,821,NA,NA,4.39719350864978,NA,NA,NA,NA,NA,NA,NA,NA
-117,NA,NA,NA,20256,NA,NA,764,NA,NA,3.91955674122717,NA,NA,NA,NA,NA,NA,NA,NA
-116,NA,NA,NA,20256,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
-115,NA,NA,NA,21570,NA,NA,1314,NA,NA,6.48696682464455,NA,NA,NA,NA,NA,NA,NA,NA
-114,NA,NA,NA,22342,NA,NA,772,NA,NA,3.57904496986555,NA,NA,NA,NA,NA,NA,NA,NA
-113,NA,NA,NA,23196,NA,NA,854,NA,NA,3.82239727866798,NA,NA,NA,NA,NA,NA,NA,NA
-112,NA,NA,NA,24081,NA,NA,885,NA,NA,3.81531298499741,NA,NA,NA,NA,NA,NA,NA,NA
-111,NA,NA,NA,25070,NA,NA,989,NA,NA,4.10697230181471,NA,NA,NA,NA,NA,NA,NA,NA
-110,NA,NA,NA,25800,NA,NA,730,NA,NA,2.91184682887914,NA,NA,NA,NA,NA,NA,NA,NA
-109,NA,NA,NA,26746,NA,NA,946,NA,NA,3.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
-108,NA,NA,NA,27813,NA,NA,1067,NA,NA,3.98938158977043,NA,NA,NA,NA,NA,NA,NA,NA
-107,NA,NA,NA,28672,NA,NA,859,NA,NA,3.08848380253838,NA,NA,NA,NA,NA,NA,NA,NA
-106,NA,NA,NA,29683,NA,NA,1011,NA,NA,3.52608816964286,NA,NA,NA,NA,NA,NA,NA,NA
-105,NA,NA,NA,30388,NA,NA,705,NA,NA,2.37509685678671,NA,NA,NA,NA,NA,NA,NA,NA
-104,NA,NA,NA,31140,NA,NA,752,NA,NA,2.47466105041464,NA,NA,NA,NA,NA,NA,NA,NA
-103,NA,NA,NA,32145,NA,NA,1005,NA,NA,3.22736030828516,NA,NA,NA,NA,NA,NA,NA,NA
-102,NA,NA,NA,32908,NA,NA,763,NA,NA,2.37361953647535,NA,NA,NA,NA,NA,NA,NA,NA
-101,NA,NA,NA,34137,NA,NA,1229,NA,NA,3.73465418743163,NA,NA,NA,NA,NA,NA,NA,NA
-100,NA,NA,NA,34950,NA,NA,813,NA,NA,2.3815801036998,NA,NA,NA,NA,NA,NA,NA,NA
-99,NA,NA,NA,35749,NA,NA,799,NA,NA,2.28612303290415,NA,NA,NA,NA,NA,NA,NA,NA
-98,NA,NA,NA,36244,NA,NA,495,NA,NA,1.38465411619905,NA,NA,NA,NA,NA,NA,NA,NA
-97,NA,NA,NA,37727,NA,NA,1483,NA,NA,4.09171173159695,NA,NA,NA,NA,NA,NA,NA,NA
-96,NA,NA,NA,39342,NA,NA,1615,NA,NA,4.28075383677472,NA,NA,NA,NA,NA,NA,NA,NA
-95,NA,NA,NA,40249,NA,NA,907,NA,NA,2.30542422855981,NA,NA,NA,NA,NA,NA,NA,NA
-94,NA,NA,NA,41401,NA,NA,1152,NA,NA,2.86218291137668,NA,NA,NA,NA,NA,NA,NA,NA
-93,NA,NA,NA,42533,NA,NA,1132,NA,NA,2.73423347262143,NA,NA,NA,NA,NA,NA,NA,NA
-92,NA,NA,NA,43611,NA,NA,1078,NA,NA,2.5345026214939,NA,NA,NA,NA,NA,NA,NA,NA
-91,NA,NA,NA,44607,NA,NA,996,NA,NA,2.28382747471968,NA,NA,NA,NA,NA,NA,NA,NA
-90,NA,NA,NA,45398,NA,NA,791,NA,NA,1.77326428587441,NA,NA,NA,NA,NA,NA,NA,NA
-89,NA,NA,NA,46239,NA,NA,841,NA,NA,1.85250451561743,NA,NA,NA,NA,NA,NA,NA,NA
-88,NA,NA,NA,46905,NA,NA,666,NA,NA,1.44034256796211,NA,NA,NA,NA,NA,NA,NA,NA
-87,NA,NA,NA,47856,NA,NA,951,NA,NA,2.02750239846498,NA,NA,NA,NA,NA,NA,NA,NA
-86,NA,NA,NA,48532,NA,NA,676,NA,NA,1.41257104647275,NA,NA,NA,NA,NA,NA,NA,NA
-85,NA,NA,NA,49397,NA,NA,865,NA,NA,1.78232918486772,NA,NA,NA,NA,NA,NA,NA,NA
-84,NA,NA,NA,50681,NA,NA,1284,NA,NA,2.59934813855092,NA,NA,NA,NA,NA,NA,NA,NA
-83,NA,NA,NA,51251,NA,NA,570,NA,NA,1.1246818334287,NA,NA,NA,NA,NA,NA,NA,NA
-82,NA,NA,NA,51738,NA,NA,487,NA,NA,0.950225361456362,NA,NA,NA,NA,NA,NA,NA,NA
-81,NA,NA,NA,52177,NA,NA,439,NA,NA,0.84850593374309,NA,NA,NA,NA,NA,NA,NA,NA
-80,NA,NA,NA,52647,NA,NA,470,NA,NA,0.900780037181134,NA,NA,NA,NA,NA,NA,NA,NA
-79,NA,NA,NA,53211,NA,NA,564,NA,NA,1.07128611316884,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,53869,NA,NA,658,NA,NA,1.23658642010111,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,54506,NA,NA,637,NA,NA,1.18249828287141,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,54886,NA,NA,380,NA,NA,0.697170953656478,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,55331,NA,NA,445,NA,NA,0.81077141711912,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,55775,NA,NA,444,NA,NA,0.802443476532143,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,NA,56238,NA,NA,463,NA,NA,0.830121021963245,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,NA,56793,NA,NA,555,NA,NA,0.986877200469434,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,NA,57443,NA,NA,650,NA,NA,1.14450724561125,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,NA,57994,NA,NA,551,NA,NA,0.959211740333896,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,NA,58465,NA,NA,471,NA,NA,0.812152981342898,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,NA,58994,NA,NA,529,NA,NA,0.904814846489353,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,NA,59514,NA,NA,520,NA,NA,0.881445570736007,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,NA,59946,NA,NA,432,NA,NA,0.725879624962194,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,NA,60570,NA,NA,624,NA,NA,1.04093684315884,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,NA,61247,NA,NA,677,NA,NA,1.11771504044907,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,22,61736,NA,NA,489,NA,NA,0.798406452560942,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,32,62189,NA,10,453,NA,45.4545454545455,0.733769599585331,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,45,62787,NA,13,598,NA,40.625,0.961584846194665,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,64,63203,NA,19,416,NA,42.2222222222222,0.662557535795626,NA,NA,NA,NA,NA,NA,NA,NA
-59,NA,NA,92,63735,NA,28,532,NA,43.75,0.841732196256507,NA,NA,NA,NA,NA,NA,NA,NA
-58,NA,NA,125,64393,NA,33,658,NA,35.8695652173913,1.03239978034047,NA,NA,NA,NA,NA,NA,NA,NA
-57,NA,NA,159,65109,NA,34,716,NA,27.2,1.11192210333421,NA,NA,NA,NA,NA,NA,NA,NA
-56,NA,NA,239,65748,NA,80,639,NA,50.314465408805,0.981431138552274,NA,NA,NA,NA,NA,NA,NA,NA
-55,NA,NA,287,66102,NA,48,354,NA,20.0836820083682,0.538419419602117,NA,NA,NA,NA,NA,NA,NA,NA
-54,NA,NA,353,66740,NA,66,638,NA,22.9965156794425,0.965175032525491,NA,NA,NA,NA,NA,NA,NA,NA
-53,NA,NA,436,67375,NA,83,635,NA,23.5127478753541,0.951453401258616,NA,NA,NA,NA,NA,NA,NA,NA
-52,NA,NA,545,67988,NA,109,613,NA,25,0.909833024118738,NA,NA,NA,NA,NA,NA,NA,NA
-51,NA,NA,654,68931,NA,109,943,NA,20,1.38700947225981,NA,NA,NA,NA,NA,NA,NA,NA
-50,NA,NA,831,69782,NA,177,851,NA,27.0642201834862,1.23456790123457,NA,NA,NA,NA,NA,NA,NA,NA
-49,NA,NA,1041,70670,NA,210,888,NA,25.2707581227437,1.27253446447508,NA,NA,NA,NA,NA,NA,NA,NA
-48,NA,NA,1295,71642,NA,254,972,NA,24.3996157540826,1.375406820433,NA,NA,NA,NA,NA,NA,NA,NA
-47,NA,NA,1433,72443,NA,138,801,NA,10.6563706563707,1.11805923899389,NA,NA,NA,NA,NA,NA,NA,NA
-46,NA,NA,1759,73527,NA,326,1084,NA,22.7494766224703,1.49634885358144,NA,NA,NA,NA,NA,NA,NA,NA
-45,NA,NA,2134,74431,NA,375,904,NA,21.3189312109153,1.22948032695472,NA,NA,NA,NA,NA,NA,NA,NA
