"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-76,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,NA,185,NA,NA,52,NA,NA,39.0977443609023,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,NA,268,NA,NA,83,NA,NA,44.8648648648649,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,33,371,NA,NA,103,NA,NA,38.4328358208955,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,48,479,NA,15,108,NA,45.4545454545455,29.1105121293801,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,68,644,NA,20,165,NA,41.6666666666667,34.446764091858,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,96,851,NA,28,207,NA,41.1764705882353,32.1428571428571,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,139,1127,NA,43,276,NA,44.7916666666667,32.4324324324324,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,188,1687,NA,49,560,NA,35.2517985611511,49.6894409937888,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,239,2218,NA,51,531,NA,27.1276595744681,31.4759928867813,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,359,2751,NA,120,533,NA,50.2092050209205,24.0306582506763,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,431,3394,NA,72,643,NA,20.0557103064067,23.3733187931661,NA,NA,NA,NA,NA,NA,NA,NA
-64,NA,NA,530,4087,NA,99,693,NA,22.969837587007,20.4183853859753,NA,NA,NA,NA,NA,NA,NA,NA
-63,NA,NA,654,4843,NA,124,756,NA,23.3962264150943,18.497675556643,NA,NA,NA,NA,NA,NA,NA,NA
-62,NA,NA,817,5805,NA,163,962,NA,24.9235474006116,19.8637208341937,NA,NA,NA,NA,NA,NA,NA,NA
-61,NA,NA,982,7016,NA,165,1211,NA,20.1958384332925,20.8613264427218,NA,NA,NA,NA,NA,NA,NA,NA
-60,NA,NA,1246,8420,NA,264,1404,NA,26.8839103869654,20.0114025085519,NA,NA,NA,NA,NA,NA,NA,NA
