"daysFromToday","Day","Korea","Italy","X","dif.Korea","dif.Italy","dif.X","growth.Korea","growth.Italy","growth.X","prj.grKO.X","prj.grIT.X","grKO.prj.tot.X","grIT.prj.tot.X","dif.grKO.prj.tot.X","dif.grIT.prj.tot.X","growth.grKO.prj.tot.X","growth.grIT.prj.tot.X"
-79,NA,NA,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-78,NA,NA,NA,185,NA,NA,52,NA,NA,39.0977443609023,NA,NA,NA,NA,NA,NA,NA,NA
-77,NA,NA,NA,268,NA,NA,83,NA,NA,44.8648648648649,NA,NA,NA,NA,NA,NA,NA,NA
-76,NA,NA,NA,371,NA,NA,103,NA,NA,38.4328358208955,NA,NA,NA,NA,NA,NA,NA,NA
-75,NA,NA,33,479,NA,NA,108,NA,NA,29.1105121293801,NA,NA,NA,NA,NA,NA,NA,NA
-74,NA,NA,48,644,NA,15,165,NA,45.4545454545455,34.446764091858,NA,NA,NA,NA,NA,NA,NA,NA
-73,NA,NA,68,851,NA,20,207,NA,41.6666666666667,32.1428571428571,NA,NA,NA,NA,NA,NA,NA,NA
-72,NA,NA,96,1127,NA,28,276,NA,41.1764705882353,32.4324324324324,NA,NA,NA,NA,NA,NA,NA,NA
-71,NA,NA,139,1687,NA,43,560,NA,44.7916666666667,49.6894409937888,NA,NA,NA,NA,NA,NA,NA,NA
-70,NA,NA,188,2218,NA,49,531,NA,35.2517985611511,31.4759928867813,NA,NA,NA,NA,NA,NA,NA,NA
-69,NA,NA,239,2751,NA,51,533,NA,27.1276595744681,24.0306582506763,NA,NA,NA,NA,NA,NA,NA,NA
-68,NA,NA,359,3394,NA,120,643,NA,50.2092050209205,23.3733187931661,NA,NA,NA,NA,NA,NA,NA,NA
-67,NA,NA,431,4087,NA,72,693,NA,20.0557103064067,20.4183853859753,NA,NA,NA,NA,NA,NA,NA,NA
-66,NA,NA,530,4843,NA,99,756,NA,22.969837587007,18.497675556643,NA,NA,NA,NA,NA,NA,NA,NA
-65,NA,NA,654,5805,NA,124,962,NA,23.3962264150943,19.8637208341937,NA,NA,NA,NA,NA,NA,NA,NA
